,gene,module
1,5-HT2,turquoise
2,AcDopbH,brown
3,ADD,brown
4,afurin2,brown
5,Alb-1,turquoise
6,Ap-uch,brown
7,ApCREB2,greenyellow
8,aplA,turquoise
9,aplB,turquoise
10,aplC,turquoise
11,AplD,turquoise
12,APN,brown
13,ATP6,darkgrey
14,ATP8,greenyellow
15,ATRP,brown
16,c-Jun,turquoise
17,C/EBP,turquoise
18,CaM,brown
19,CAPLA,lightcyan
20,CBP,lightcyan
21,CBPH,turquoise
22,COX1,greenyellow
23,COX2,brown
24,COX3,brown
25,CP2PP,pink
26,CPE2,brown
27,CYTB,greenyellow
28,ddx5,brown
29,ELH,brown
30,ENPP,brown
31,ER,brown
32,FMRP,turquoise
33,FUR,salmon
34,GluR8,brown
35,GnRH,greenyellow
36,GPB5,turquoise
37,GPHA,brown
38,His.H4,greenyellow
39,jnk,lightcyan
40,KHC1,brown
41,KLC2,brown
42,LOC100533208,brown
43,LOC100533212,brown
44,LOC100533215,turquoise
45,LOC100533216,turquoise
46,LOC100533217,pink
47,LOC100533218,pink
48,LOC100533219,greenyellow
49,LOC100533220,darkred
50,LOC100533225,brown
51,LOC100533232,purple
52,LOC100533236,greenyellow
53,LOC100533237,brown
54,LOC100533239,turquoise
55,LOC100533244,brown
56,LOC100533245,purple
57,LOC100533247,greenyellow
58,LOC100533249,turquoise
59,LOC100533255,brown
60,LOC100533257,greenyellow
61,LOC100533258,greenyellow
62,LOC100533260,brown
63,LOC100533261,purple
64,LOC100533262,greenyellow
65,LOC100533263,greenyellow
66,LOC100533264,greenyellow
67,LOC100533265,lightcyan
68,LOC100533266,purple
69,LOC100533269,turquoise
70,LOC100533271,brown
71,LOC100533272,turquoise
72,LOC100533273,greenyellow
73,LOC100533275,brown
74,LOC100533276,turquoise
75,LOC100533277,brown
76,LOC100533281,turquoise
77,LOC100533282,salmon
78,LOC100533284,salmon
79,LOC100533285,turquoise
80,LOC100533286,brown
81,LOC100533288,turquoise
82,LOC100533290,brown
83,LOC100533291,greenyellow
84,LOC100533292,brown
85,LOC100533293,turquoise
86,LOC100533294,brown
87,LOC100533298,purple
88,LOC100533301,brown
89,LOC100533302,brown
90,LOC100533304,pink
91,LOC100533305,brown
92,LOC100533306,brown
93,LOC100533307,brown
94,LOC100533310,brown
95,LOC100533312,turquoise
96,LOC100533313,turquoise
97,LOC100533314,turquoise
98,LOC100533315,turquoise
99,LOC100533316,salmon
100,LOC100533319,salmon
101,LOC100533321,brown
102,LOC100533322,turquoise
103,LOC100533323,turquoise
104,LOC100533325,turquoise
105,LOC100533326,brown
106,LOC100533328,turquoise
107,LOC100533329,brown
108,LOC100533330,salmon
109,LOC100533331,brown
110,LOC100533332,salmon
111,LOC100533335,brown
112,LOC100533336,purple
113,LOC100533339,salmon
114,LOC100533340,brown
115,LOC100533341,brown
116,LOC100533344,brown
117,LOC100533345,greenyellow
118,LOC100533347,darkred
119,LOC100533349,lightcyan
120,LOC100533350,turquoise
121,LOC100533351,turquoise
122,LOC100533353,turquoise
123,LOC100533354,brown
124,LOC100533356,brown
125,LOC100533357,royalblue
126,LOC100533358,brown
127,LOC100533359,purple
128,LOC100533363,brown
129,LOC100533365,royalblue
130,LOC100533366,brown
131,LOC100533367,brown
132,LOC100533370,brown
133,LOC100533371,brown
134,LOC100533372,turquoise
135,LOC100533374,brown
136,LOC100533376,salmon
137,LOC100533377,brown
138,LOC100533378,lightgreen
139,LOC100533381,purple
140,LOC100533382,brown
141,LOC100533383,brown
142,LOC100533384,greenyellow
143,LOC100533386,turquoise
144,LOC100533387,lightcyan
145,LOC100533391,brown
146,LOC100533392,brown
147,LOC100533395,brown
148,LOC100533396,salmon
149,LOC100533398,royalblue
150,LOC100533399,brown
151,LOC100533400,salmon
152,LOC100533401,brown
153,LOC100533404,turquoise
154,LOC100533405,turquoise
155,LOC100533406,salmon
156,LOC100533407,brown
157,LOC100533408,brown
158,LOC100533409,turquoise
159,LOC100533410,turquoise
160,LOC100533411,brown
161,LOC100533412,brown
162,LOC100533414,greenyellow
163,LOC100533415,brown
164,LOC100533416,turquoise
165,LOC100533419,brown
166,LOC100533420,brown
167,LOC100533421,brown
168,LOC100533422,salmon
169,LOC100533423,brown
170,LOC100533424,lightcyan
171,LOC100533425,lightcyan
172,LOC100533426,brown
173,LOC100533427,greenyellow
174,LOC100533428,greenyellow
175,LOC100533429,greenyellow
176,LOC100533433,salmon
177,LOC100533434,brown
178,LOC100533437,brown
179,LOC100533439,brown
180,LOC100533441,brown
181,LOC100533443,purple
182,LOC100533444,brown
183,LOC100533445,purple
184,LOC100533446,lightgreen
185,LOC100533447,brown
186,LOC100533448,brown
187,LOC100533450,brown
188,LOC100533452,greenyellow
189,LOC100533453,salmon
190,LOC100533454,brown
191,LOC100533455,purple
192,LOC100533493,brown
193,LOC100533515,lightgreen
194,LOC100533518,turquoise
195,LOC100533519,brown
196,LOC100533521,brown
197,LOC100533524,brown
198,LOC100533527,brown
199,LOC100533528,brown
200,LOC100533530,royalblue
201,LOC100533531,brown
202,LOC100533532,brown
203,LOC100533534,brown
204,LOC100533535,pink
205,LOC100533536,brown
206,LOC100533537,brown
207,LOC100533543,brown
208,LOC100533544,brown
209,LOC100533545,brown
210,LOC100533546,greenyellow
211,LOC100533548,turquoise
212,LOC100533552,brown
213,LOC100533553,brown
214,LOC100533554,greenyellow
215,LOC100533557,brown
216,LOC100856792,brown
217,LOC100856795,brown
218,LOC100856796,lightcyan
219,LOC100861462,brown
220,LOC100861464,brown
221,LOC100861465,brown
222,LOC100885790,purple
223,LOC100885792,lightyellow
224,LOC101844960,pink
225,LOC101844961,turquoise
226,LOC101844966,brown
227,LOC101844967,turquoise
228,LOC101844969,greenyellow
229,LOC101844970,brown
230,LOC101844971,turquoise
231,LOC101844972,tan
232,LOC101844973,pink
233,LOC101844976,greenyellow
234,LOC101844981,brown
235,LOC101844983,lightcyan
236,LOC101844985,salmon
237,LOC101844988,turquoise
238,LOC101844989,brown
239,LOC101844991,brown
240,LOC101844992,turquoise
241,LOC101844995,brown
242,LOC101844996,pink
243,LOC101844997,lightcyan
244,LOC101844999,purple
245,LOC101845002,turquoise
246,LOC101845003,brown
247,LOC101845004,brown
248,LOC101845005,lightyellow
249,LOC101845006,greenyellow
250,LOC101845010,pink
251,LOC101845012,pink
252,LOC101845014,turquoise
253,LOC101845015,royalblue
254,LOC101845017,pink
255,LOC101845018,brown
256,LOC101845019,turquoise
257,LOC101845022,turquoise
258,LOC101845023,brown
259,LOC101845024,brown
260,LOC101845026,brown
261,LOC101845028,turquoise
262,LOC101845030,turquoise
263,LOC101845031,turquoise
264,LOC101845034,turquoise
265,LOC101845036,brown
266,LOC101845037,brown
267,LOC101845038,darkred
268,LOC101845040,brown
269,LOC101845042,lightyellow
270,LOC101845043,turquoise
271,LOC101845044,brown
272,LOC101845047,brown
273,LOC101845050,brown
274,LOC101845052,brown
275,LOC101845053,brown
276,LOC101845056,brown
277,LOC101845057,brown
278,LOC101845059,brown
279,LOC101845061,salmon
280,LOC101845062,brown
281,LOC101845069,turquoise
282,LOC101845070,brown
283,LOC101845071,turquoise
284,LOC101845072,tan
285,LOC101845075,turquoise
286,LOC101845076,pink
287,LOC101845077,darkgrey
288,LOC101845078,brown
289,LOC101845082,turquoise
290,LOC101845083,brown
291,LOC101845085,brown
292,LOC101845087,turquoise
293,LOC101845088,brown
294,LOC101845089,brown
295,LOC101845090,brown
296,LOC101845091,brown
297,LOC101845095,turquoise
298,LOC101845098,purple
299,LOC101845099,brown
300,LOC101845100,turquoise
301,LOC101845101,brown
302,LOC101845102,turquoise
303,LOC101845103,brown
304,LOC101845104,tan
305,LOC101845107,brown
306,LOC101845108,brown
307,LOC101845111,turquoise
308,LOC101845112,brown
309,LOC101845114,pink
310,LOC101845119,turquoise
311,LOC101845120,salmon
312,LOC101845121,turquoise
313,LOC101845124,brown
314,LOC101845125,brown
315,LOC101845126,turquoise
316,LOC101845128,brown
317,LOC101845129,brown
318,LOC101845130,brown
319,LOC101845131,brown
320,LOC101845135,turquoise
321,LOC101845137,turquoise
322,LOC101845138,brown
323,LOC101845139,turquoise
324,LOC101845141,brown
325,LOC101845144,turquoise
326,LOC101845146,turquoise
327,LOC101845148,brown
328,LOC101845151,brown
329,LOC101845155,salmon
330,LOC101845156,brown
331,LOC101845157,brown
332,LOC101845158,brown
333,LOC101845160,brown
334,LOC101845161,brown
335,LOC101845163,brown
336,LOC101845166,tan
337,LOC101845167,brown
338,LOC101845168,turquoise
339,LOC101845169,brown
340,LOC101845170,brown
341,LOC101845174,lightcyan
342,LOC101845177,brown
343,LOC101845180,purple
344,LOC101845182,brown
345,LOC101845183,brown
346,LOC101845184,brown
347,LOC101845185,turquoise
348,LOC101845191,greenyellow
349,LOC101845193,brown
350,LOC101845197,brown
351,LOC101845200,brown
352,LOC101845201,turquoise
353,LOC101845203,salmon
354,LOC101845205,royalblue
355,LOC101845206,brown
356,LOC101845207,turquoise
357,LOC101845208,turquoise
358,LOC101845209,turquoise
359,LOC101845211,purple
360,LOC101845212,turquoise
361,LOC101845214,greenyellow
362,LOC101845215,turquoise
363,LOC101845220,brown
364,LOC101845222,brown
365,LOC101845223,turquoise
366,LOC101845224,brown
367,LOC101845226,darkgrey
368,LOC101845227,brown
369,LOC101845228,purple
370,LOC101845229,lightcyan
371,LOC101845230,turquoise
372,LOC101845232,lightgreen
373,LOC101845233,turquoise
374,LOC101845234,turquoise
375,LOC101845238,brown
376,LOC101845239,turquoise
377,LOC101845241,brown
378,LOC101845243,purple
379,LOC101845246,brown
380,LOC101845247,turquoise
381,LOC101845249,darkgrey
382,LOC101845252,brown
383,LOC101845253,turquoise
384,LOC101845254,turquoise
385,LOC101845255,brown
386,LOC101845257,brown
387,LOC101845258,darkred
388,LOC101845259,brown
389,LOC101845260,purple
390,LOC101845261,brown
391,LOC101845262,brown
392,LOC101845265,tan
393,LOC101845267,turquoise
394,LOC101845268,tan
395,LOC101845270,salmon
396,LOC101845271,brown
397,LOC101845273,brown
398,LOC101845275,brown
399,LOC101845277,greenyellow
400,LOC101845279,turquoise
401,LOC101845280,greenyellow
402,LOC101845282,brown
403,LOC101845284,turquoise
404,LOC101845285,brown
405,LOC101845286,brown
406,LOC101845289,brown
407,LOC101845290,salmon
408,LOC101845292,brown
409,LOC101845301,turquoise
410,LOC101845303,tan
411,LOC101845304,pink
412,LOC101845305,brown
413,LOC101845306,turquoise
414,LOC101845307,salmon
415,LOC101845310,turquoise
416,LOC101845312,lightyellow
417,LOC101845314,brown
418,LOC101845316,pink
419,LOC101845317,brown
420,LOC101845318,turquoise
421,LOC101845320,turquoise
422,LOC101845324,brown
423,LOC101845325,salmon
