sample,replicate,timepoint,group,treatment
AC163A,LC_1,0,Lab_cross,Control
AC164A,LC_2,0,Lab_cross,Control
AC172A,LC_3,0,Lab_cross,Control
AC169A,WC_1,0,Wild_cross,Control
AC170A,WC_2,0,Wild_cross,Control
AC174A,WC_3,0,Wild_cross,Control
AC190A,LC_1,1,Lab_cross,H_6h
AC191A,LC_2,1,Lab_cross,H_6h
AC192A,LC_3,1,Lab_cross,H_6h
AC202A,WC_1,1,Wild_cross,H_6h
AC203A,WC_2,1,Wild_cross,H_6h
AC204A,WC_3,1,Wild_cross,H_6h
AC177A,LC_1,6,Lab_cross,H_6d
AC181A,LC_2,6,Lab_cross,H_6d
AC182A,LC_3,6,Lab_cross,H_6d
AC179A,WC_1,6,Wild_cross,H_6d
AC183A,WC_2,6,Wild_cross,H_6d
AC184A,WC_3,6,Wild_cross,H_6d
AC193A,LC_1,7,Lab_cross,Recovery
AC194A,LC_2,7,Lab_cross,Recovery
AC195A,LC_3,7,Lab_cross,Recovery
AC205A,WC_1,7,Wild_cross,Recovery
AC206A,WC_2,7,Wild_cross,Recovery
AC207A,WC_3,7,Wild_cross,Recovery
AC267A,WC_4,6,Wild_cross,H_6d
AC271A,WC_5,6,Wild_cross,H_6d
AC275A,WC_6,6,Wild_cross,H_6d
AC279A,WC_4,1,Wild_cross,H_6h
AC283A,WC_5,1,Wild_cross,H_6h
AC290A,WC_6,1,Wild_cross,H_6h
AC293A,WC_4,7,Wild_cross,Recovery
AC299A,WC_5,7,Wild_cross,Recovery
AC301A,WC_6,7,Wild_cross,Recovery
AC305A,WC_4,0,Wild_cross,Control
AC309A,WC_5,0,Wild_cross,Control
AC313A,WC_6,0,Wild_cross,Control
AC270A,LC_4,6,Lab_cross,H_6d
AC274A,LC_5,6,Lab_cross,H_6d
AC278A,LC_4,1,Lab_cross,H_6h
AC282A,LC_5,1,Lab_cross,H_6h
AC286A,LC_6,1,Lab_cross,H_6h
AC292A,LC_4,7,Lab_cross,Recovery
AC296A,LC_5,7,Lab_cross,Recovery
AC300A,LC_6,7,Lab_cross,Recovery
AC304A,LC_4,0,Lab_cross,Control
AC308A,LC_5,0,Lab_cross,Control
AC312A,LC_6,0,Lab_cross,Control
