"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC163A","AC164A","AC172A","AC190A","AC191A","AC192A","AC278A","AC282A","AC286A","AC304A","AC308A","AC312A","AC169A","AC170A","AC174A","AC202A","AC203A","AC204A","AC279A","AC283A","AC290A","AC305A","AC309A","AC313A"
"1","LOC100856795",629.74151893268,1.12825786258643,0.0881717898745803,12.796132007656,1.72322979335818e-37,3.3354835880241e-33,320.849303569229,336.185135978219,395.311208883162,1035.57053852117,1080.40598150867,1039.36974691929,818.371708877641,740.263991282584,858.351866502036,393.693996274712,426.744461146098,427.73774387761,373.786939649936,351.840344664674,426.698196759236,720.648951573636,788.829143062075,728.005148679211,817.022185025917,829.708515748945,912.348037512602,378.370671995808,477.060665351173,436.621971020699
"2","LOC101858131",68.7799758126214,1.95194709212561,0.244478105374167,7.98413865789007,1.41506890586374e-15,1.36950368709492e-11,25.5453267172953,48.9185801578213,34.4202371850774,100.216503727855,162.880116748408,73.4710000178573,104.070390724324,46.146326729304,112.692422724717,25.4324286999168,28.3843792964148,27.895939818105,21.4707902670982,23.456022977645,28.0195814007003,222.123547066729,102.019473467613,183.213013449229,64.3478093218503,46.3749595679848,93.4480469689458,21.5698245318275,29.7318261691949,24.8708717670019
"4","LOC106013078",72.3330459962781,2.9763404331148,0.40720778323567,7.30914426405315,2.68849006694938e-13,1.30096034339681e-09,30.6543920607544,20.8164170884346,11.4734123950258,171.42296690291,174.445568825218,169.473106707858,56.7656676678133,39.4166540812805,83.0010059589233,7.1210800359767,4.89385849938186,9.298646606035,22.446735279239,41.8129105253671,17.6123083090116,245.504973073753,278.731775724013,166.733536049034,20.4743029660433,55.4483212225905,78.6930921843754,16.1773683988706,10.8115731524345,2.76343019633354
"5","LOC101861931",20.3596692265142,1.76691624007663,0.257788367516137,6.8541348746701,7.17453678734315e-12,2.77740668111628e-08,4.08725227476725,12.4898502530607,9.38733741411202,27.2518562768729,45.2980206341725,42.1233733435715,28.3828338339066,12.4979634891865,27.6670019863078,7.1210800359767,8.80894529888735,7.438917284828,7.8075600971266,15.2974062897684,11.2078325602801,39.2473936546476,59.2077301374537,28.1120496826859,25.3491370055774,17.1385720142553,24.5915913076173,5.39245613295688,13.5144664405431,9.21143398777847
"7","LOC101847632",6.86307886208198,-2.48864240597168,0.376760870014379,-6.60536325302757,3.96543796152702e-11,1.09650024547596e-07,6.13087841215088,13.5306711074825,5.21518745228445,0.87909213796364,0,0.979613333571431,1.5768241018837,4.8069090343025,2.02441477948593,18.3113486639401,11.7452603985165,6.5090526242245,17.5670102185349,15.2974062897684,12.0083920288716,0.835050928822289,3.6435526238433,1.93876204708179,4.87483403953411,2.01630258991238,1.22957956538087,9.88616957708761,10.8115731524345,12.8960075828899
"9","LOC106011289",1108.7769899891,2.14325623925981,0.346623091687696,6.18324713689549,6.27962865874574e-10,1.41807657549452e-06,411.790666682801,348.674986231279,489.184583024282,2511.56623816212,1839.87066788586,1504.68608036572,477.777702870762,748.916427544329,917.059895107128,560.530728546166,488.40707823831,272.450345556826,394.281784904893,143.795619123823,1096.76647197027,2040.02941911285,4262.0456817407,3032.22384163591,860.895691381724,2154.41931732138,1350.07836278819,412.522894171201,175.688063727061,116.985211644787
"11","LOC101846598",63.1940219913696,1.46532083887675,0.244226680292715,5.99983931780308,1.9751288040095e-09,3.47550846640072e-06,13.2835698929936,28.1021630693867,29.2050497327929,76.4810160028367,105.052856364358,146.942000035715,83.5716773998362,74.0263991282584,119.44047198967,43.7437773638569,46.0022698941895,49.2828270119855,13.6632301699716,25.4956771496141,23.2162245891517,36.7422408681807,137.544111550085,84.3361490480577,57.5230416665025,88.7173139561448,103.284683491993,36.848450241872,32.4347194573035,61.7166077181157
"12","LOC101853496",479.386231786466,1.04782566270359,0.178971705517967,5.85470010285173,4.7787153277681e-09,7.70806782368995e-06,314.718425157079,418.409983477535,304.566947213412,658.440011334767,777.776652165473,612.258333482145,681.188012013759,547.987629910485,1032.45153753783,300.102658659018,338.655008157225,247.343999720531,150.295531869687,313.086915397261,225.757770142785,388.298681902364,660.393913071599,579.689852077454,313.939312145997,819.627002799383,681.187079220999,319.952397222108,379.756506979262,439.385401217033
"15","LOC101858582",24.9739504892751,1.28408179326844,0.225352881462635,5.6980935186371,1.21154591705838e-08,1.56337885137213e-05,7.15269148084269,20.8164170884346,18.774674828224,31.6473169666911,48.189383653375,31.3476266742858,40.9974266489763,17.304872523489,46.5615399281765,14.2421600719534,18.5966622976511,24.176481175691,16.591065206394,13.2577521177993,12.0083920288716,24.2164769358464,36.435526238433,32.9589548003904,22.4242365818569,42.34235438816,51.6423417459963,12.582397643566,4.05433993216294,11.0537207853342
"16","LOC106012569",20.4278814012381,-1.80836663694477,0.319174352776632,-5.66576424832705,1.46370658588812e-08,1.77071904227815e-05,21.4580744425281,21.8572379428563,18.774674828224,2.63727641389092,5.78272603840501,7.83690666857145,15.768241018837,19.22763613721,4.72363448546718,19.3286458119367,24.4692924969093,49.2828270119855,40.0137454977738,25.4956771496141,28.0195814007003,3.34020371528916,7.28710524768661,6.78566716478625,7.79973446325458,23.1874797839924,6.14789782690433,64.7094735954825,40.5433993216294,25.7920151657797
"17","LOC101861760",7.51338190298185,-2.67103594419562,0.472503891216306,-5.65293957118515,1.57726770825385e-08,1.79585845652714e-05,36.7852704729053,28.1021630693867,16.6885998473103,0.87909213796364,0.963787673067501,1.95922666714286,3.1536482037674,3.845527227442,1.34960985299062,7.1210800359767,3.91508679950549,7.438917284828,15.6151201942532,13.2577521177993,12.0083920288716,0.835050928822289,1.82177631192165,0.969381023540893,4.87483403953411,3.02445388486857,1.22957956538087,5.39245613295688,5.40578657621726,3.68457359511139
"19","LOC101854334",9.68661259444133,-2.680137024605,0.481544708059299,-5.56570756515293,2.61090788348827e-08,2.6521383801869e-05,37.8070835415971,26.0205213605432,15.6455623568534,3.51636855185456,0,2.93884000071429,3.1536482037674,5.768290841163,2.69921970598124,4.06918859198668,3.91508679950549,25.1063458362945,25.3745703156615,23.456022977645,20.8145461833774,4.17525464411145,0,2.90814307062268,4.87483403953411,0,1.22957956538087,6.29119882178302,8.10867986432588,4.60571699388924
"20","LOC106011842",20.8074965233351,-1.44100107587315,0.259300505012243,-5.55726289775301,2.74037857014559e-08,2.6521383801869e-05,18.3926352364526,45.7961175945561,29.2050497327929,4.3954606898182,14.4568150960125,5.87768000142859,14.1914169169533,23.073163364652,8.77246404443905,22.3805372559268,38.1720962951785,54.8620149756065,14.6391751821124,28.5551584075678,22.4156651205603,10.0206111458675,9.10888155960826,5.81628614124536,15.5994689265092,14.1141181293867,9.83663652304692,33.2534794865674,29.7318261691949,26.7131585645576
"21","LOC101855193",57.8966699591308,1.79041909228506,0.32466094519767,5.5147350451868,3.49305790793648e-08,3.09054864819307e-05,19.4144483051445,14.5714919619042,22.9468247900516,72.9646474509822,41.4428699419025,34.2864666750001,74.110732788534,42.300799501862,45.8867350016812,17.2940515159434,23.4905207970329,34.4049924423295,28.3024053520839,26.5155042355986,28.8201408692918,108.556620746898,141.187664173928,229.743302579192,26.3241038134842,180.459081797158,81.1522513151371,53.0258186407426,22.9745929489233,19.3440113743348
