"","cluster","cluster_col"
"LOC101850301","C1","#8DD3C7"
"LOC101848426","C1","#8DD3C7"
"LOC118478736","C1","#8DD3C7"
"LOC101849140","C1","#8DD3C7"
"LOC106013139","C1","#8DD3C7"
"LOC101852216","C1","#8DD3C7"
"LOC101850341","C1","#8DD3C7"
"LOC101859745","C1","#8DD3C7"
"LOC106013575","C1","#8DD3C7"
"LOC106014143","C1","#8DD3C7"
"LOC101861152","C1","#8DD3C7"
"LOC101846924","C1","#8DD3C7"
"LOC101847260","C1","#8DD3C7"
"LOC101853256","C1","#8DD3C7"
"LOC106012332","C1","#8DD3C7"
"LOC101848216","C1","#8DD3C7"
"LOC106014045","C1","#8DD3C7"
"LOC101849944","C1","#8DD3C7"
"LOC101852558","C1","#8DD3C7"
"LOC101860944","C1","#8DD3C7"
"LOC118477538","C1","#8DD3C7"
"LOC118477815","C1","#8DD3C7"
"LOC101850169","C1","#8DD3C7"
"LOC101855584","C1","#8DD3C7"
"LOC101858847","C1","#8DD3C7"
"LOC106014136","C1","#8DD3C7"
"LOC118477369","C1","#8DD3C7"
"LOC101860253","C1","#8DD3C7"
"LOC101854859","C1","#8DD3C7"
"LOC106012169","C1","#8DD3C7"
"LOC101845035","C1","#8DD3C7"
"LOC101851065","C1","#8DD3C7"
"LOC101852266","C1","#8DD3C7"
"LOC106013524","C1","#8DD3C7"
"LOC101852825","C1","#8DD3C7"
"LOC101850279","C1","#8DD3C7"
"LOC101856484","C1","#8DD3C7"
"LOC101845668","C1","#8DD3C7"
"LOC101860451","C1","#8DD3C7"
"LOC101851692","C1","#8DD3C7"
"LOC106013710","C1","#8DD3C7"
"LOC101859960","C1","#8DD3C7"
"LOC101856629","C1","#8DD3C7"
"LOC101855161","C1","#8DD3C7"
"LOC106012597","C1","#8DD3C7"
"LOC101859251","C1","#8DD3C7"
"LOC101846954","C1","#8DD3C7"
"LOC101852929","C1","#8DD3C7"
"LOC101860402","C1","#8DD3C7"
"LOC101859875","C1","#8DD3C7"
"LOC101849397","C1","#8DD3C7"
"LOC118477216","C1","#8DD3C7"
"LOC101852513","C1","#8DD3C7"
"LOC101854400","C1","#8DD3C7"
"LOC101861692","C1","#8DD3C7"
"LOC101859493","C1","#8DD3C7"
"LOC101848000","C1","#8DD3C7"
"LOC101860294","C1","#8DD3C7"
"LOC101852211","C1","#8DD3C7"
"LOC106011360","C1","#8DD3C7"
"LOC101846532","C1","#8DD3C7"
"LOC101846601","C1","#8DD3C7"
"LOC106012836","C1","#8DD3C7"
"LOC101858199","C1","#8DD3C7"
"LOC101853042","C1","#8DD3C7"
"LOC118477512","C1","#8DD3C7"
"LOC101847215","C1","#8DD3C7"
"LOC106011415","C1","#8DD3C7"
"LOC118477142","C1","#8DD3C7"
"LOC118478316","C1","#8DD3C7"
"LOC101858482","C1","#8DD3C7"
"LOC101846696","C1","#8DD3C7"
"LOC101857019","C1","#8DD3C7"
"LOC101856605","C1","#8DD3C7"
"LOC101851582","C1","#8DD3C7"
"LOC101861916","C1","#8DD3C7"
"LOC106014050","C1","#8DD3C7"
"LOC106013051","C1","#8DD3C7"
"LOC101860527","C1","#8DD3C7"
"LOC106011592","C1","#8DD3C7"
"LOC101850271","C1","#8DD3C7"
"LOC101849342","C1","#8DD3C7"
"LOC101849860","C1","#8DD3C7"
"LOC118477835","C1","#8DD3C7"
"LOC101855510","C1","#8DD3C7"
"LOC101845152","C1","#8DD3C7"
"LOC101857488","C1","#8DD3C7"
"LOC101856748","C1","#8DD3C7"
"LOC118477585","C1","#8DD3C7"
"LOC101855259","C1","#8DD3C7"
"LOC101862649","C1","#8DD3C7"
"LOC106012794","C1","#8DD3C7"
"LOC101860072","C1","#8DD3C7"
"LOC101850705","C1","#8DD3C7"
"LOC106013411","C1","#8DD3C7"
"LOC118477626","C1","#8DD3C7"
"LOC106013237","C1","#8DD3C7"
"LOC106011466","C1","#8DD3C7"
"LOC106012959","C1","#8DD3C7"
"LOC101853344","C1","#8DD3C7"
"LOC101862352","C1","#8DD3C7"
