"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hco-miR-87c_MIMAT0023504_Haemonchus_contortus_miR-87c ",19.9639211520515,3.52830151733533,0.625333408899861,5.64227253353153,1.67820174439227e-08,2.62998187656903e-06
"ptr-miR-1290_MIMAT0008008_Pan_troglodytes_miR-1290 ",46.805134274361,3.24939318752441,0.520850871257209,6.23862484799373,4.41434233186449e-10,9.68506707611068e-08
"hsa-miR-1290_MIMAT0005880_Homo_sapiens_miR-1290 ",43.3553749796008,3.21972303571765,0.547765094416738,5.87792663047656,4.15436962761552e-09,7.59557246915705e-07
"cte-miR-92a_MIMAT0009520_Capitella_teleta_miR-92a ",39.7340025274544,2.76708962821293,0.417689323498275,6.62475546427117,3.47823494595566e-11,9.5390593392834e-09
"pte-miR-100a-5p_MIMAT0046088_Parasteatoda_tepidariorum_miR-100a-5p ",183.232382973702,2.24785824538817,0.243029740668285,9.2493134346726,2.25939246521459e-20,1.2392767671702e-17
"odi-let-7d_MIMAT0006077_Oikopleura_dioica_let-7d ",21.4771947332909,-2.0637118463024,0.39158914438192,-5.27009462828633,1.36353444445128e-07,1.86974660695382e-05
"osa-miR5077_MIMAT0020574_Oryza_sativa_miR5077 ",17.9170870620256,2.05084911395477,0.486590525230346,4.21473293789253,2.5007392918091e-05,0.000762030834198494
"lva-miR-1-3p_MIMAT0032190_Lytechinus_variegatus_miR-1-3p ",21.8402715573848,1.82557387535932,0.389287641740994,4.68952435067009,2.73840846703572e-06,0.000250336174028182
"gga-miR-184b-5p_MIMAT0049906_Gallus_gallus_miR-184b-5p ",393.600387308418,1.57735142771978,0.183305126182409,8.60505901046181,7.62775077429543e-18,2.7892141998007e-15
"pte-miR-87c-3p_MIMAT0046230_Parasteatoda_tepidariorum_miR-87c-3p ",290.445170561036,1.55038620966968,0.156319583683769,9.91805487920234,3.47461268421142e-23,3.81165011457993e-20
"ssa-let-7j-5p_MIMAT0032263_Salmo_salar_let-7j-5p ",74.0365143004214,1.2039727206361,0.265627208005364,4.53256550666221,5.82715967142087e-06,0.000361457844523922
"tur-miR-184-3p_MIMAT0023073_Tetranychus_urticae_miR-184-3p ",1706.68203325267,0.887606060778454,0.180381562559785,4.92071389216551,8.62291059945806e-07,9.45933292760549e-05
"ame-miR-184-3p_MIMAT0001476_Apis_mellifera_miR-184-3p ",1690.62319154259,0.884301624201476,0.192686911367637,4.58931858902586,4.44695277638979e-06,0.000348450513978543
"mze-miR-184a_MIMAT0042285_Metriaclima_zebra_miR-184a ",1636.42749302781,0.877145278718666,0.206348636027382,4.25079271472514,2.13015243245548e-05,0.000687287417177548
"isc-miR-184_MIMAT0012689_Ixodes_scapularis_miR-184 ",1674.14850044091,0.876423177716709,0.201877012123144,4.3413718506102,1.41595854211375e-05,0.000575298711369921
"tca-miR-184-3p_MIMAT0008374_Tribolium_castaneum_miR-184-3p ",1680.56363167994,0.859377189489281,0.191136154045551,4.49615193829043,6.91943002279159e-06,0.000361457844523922
"abu-miR-184a_MIMAT0042054_Astatotilapia_burtoni_miR-184a ",1643.21095672815,0.857284798237176,0.198905876158652,4.31000237294843,1.6325279428448e-05,0.000600646097837098
"dme-miR-184-3p_MIMAT0000331_Drosophila_melanogaster_miR-184-3p ",1615.14325082081,0.854081039356792,0.204222540685712,4.18210955798058,2.8881672814901e-05,0.000812389617383241
"tcf-miR-184-3p_MIMAT0041376_Triops_cancriformis_miR-184-3p ",1727.3742757761,0.85406977108811,0.172944238082192,4.93841125069581,7.87616081812871e-07,9.45933292760549e-05
"pny-miR-184a_MIMAT0042859_Pundamilia_nyererei_miR-184a ",1680.33239039158,0.852494981669141,0.206311327595327,4.13208034481404,3.59494708360853e-05,0.000917593278414478
"cqu-miR-184_MIMAT0014424_Culex_quinquefasciatus_miR-184 ",1721.91371112223,0.851912994648278,0.197082395169408,4.32262350940067,1.5418471718438e-05,0.000600646097837098
"dvi-miR-184-3p_MIMAT0008949_Drosophila_virilis_miR-184-3p ",1636.11445350619,0.847540499670185,0.207694166366729,4.08071403495112,4.48975646708338e-05,0.000985052568878094
"pmi-miR-184-3p_MIMAT0032163_Patiria_miniata_miR-184-3p ",1668.67481261688,0.845374105461993,0.191171015974078,4.42208302945161,9.77538749030802e-06,0.000428944003074716
"nvi-miR-184_MIMAT0015671_Nasonia_vitripennis_miR-184 ",1677.08712973573,0.841463438666054,0.192100534401033,4.38032846337322,1.18500546952662e-05,0.000499981153873347
"ipu-miR-184_MIMAT0029441_Ictalurus_punctatus_miR-184 ",1718.03574099496,0.839924905179496,0.205611398721101,4.08501138751943,4.4074654986921e-05,0.000985052568878094
"dmo-miR-184-3p_MIMAT0008674_Drosophila_mojavensis_miR-184-3p ",1665.95605879637,0.834720883059475,0.195851703549243,4.26200471036292,2.02601171776156e-05,0.000673495410419526
"dan-miR-184-3p_MIMAT0008436_Drosophila_ananassae_miR-184-3p ",1637.18490694991,0.833645220724453,0.186675510359069,4.46574496633726,7.97906150758787e-06,0.00039786502153745
"bdo-miR-184_MIMAT0045407_Bactrocera_dorsalis_miR-184 ",1667.0308382504,0.833367147768112,0.179008796909609,4.6554535986794,3.2326820781206e-06,0.000272788633822946
"spu-miR-184_MIMAT0009671_Strongylocentrotus_purpuratus_miR-184 ",1715.57844239022,0.830654465611585,0.184308322456818,4.50687442942897,6.57895406176973e-06,0.000361457844523922
"hme-miR-184_MIMAT0024943_Heliconius_melpomene_miR-184 ",1666.00432555208,0.829838185015779,0.175887019169435,4.718018355956,2.38153010900611e-06,0.000237503502689064
"lva-miR-184-3p_MIMAT0032211_Lytechinus_variegatus_miR-184-3p ",1672.07623092226,0.825422461499059,0.183535345128201,4.4973487854478,6.88060638920029e-06,0.000361457844523922
"sko-miR-184-3p_MIMAT0009633_Saccoglossus_kowalevskii_miR-184-3p ",1727.66919964709,0.824315162978258,0.201380535943215,4.09332093152585,4.25238502975868e-05,0.000985052568878094
"der-miR-184-3p_MIMAT0008512_Drosophila_erecta_miR-184-3p ",1721.04843001033,0.816636964497576,0.180751685188153,4.51800470710687,6.24250968674943e-06,0.000361457844523922
