"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"pte-miR-100a-5p_MIMAT0046088_Parasteatoda_tepidariorum_miR-100a-5p ",183.232382973702,2.42358637254092,0.242462991351934,9.99569608139947,1.59165024169575e-23,8.73020157570119e-21
"pte-miR-87c-3p_MIMAT0046230_Parasteatoda_tepidariorum_miR-87c-3p ",290.445170561036,1.5646130311028,0.156495913394884,9.99778842246723,1.55838411794198e-23,8.73020157570119e-21
"gga-miR-184b-5p_MIMAT0049906_Gallus_gallus_miR-184b-5p ",393.600387308418,1.76685680206528,0.18289814395973,9.66033205046792,4.44421108235143e-22,1.62509985244651e-19
"cte-miR-92a_MIMAT0009520_Capitella_teleta_miR-92a ",39.7340025274544,2.68562092259874,0.419310013454203,6.40485759086711,1.50509798614894e-10,4.12773122701348e-08
"tni-miR-184_MIMAT0002927_Tetraodon_nigroviridis_miR-184 ",660.948967809774,0.812998808213886,0.133059547061351,6.11003739430308,9.96077983364987e-10,2.18539509550278e-07
"xla-miR-184-3p_MIMAT0046496_Xenopus_laevis_miR-184-3p ",2457.38604216734,0.916579584550463,0.155900826396302,5.87924776114082,4.12135102397857e-09,7.53520345550748e-07
"tcf-miR-184-3p_MIMAT0041376_Triops_cancriformis_miR-184-3p ",1727.3742757761,0.992054502330851,0.172868032383355,5.73879674948144,9.53515703966611e-09,1.49429532464482e-06
"hco-miR-87c_MIMAT0023504_Haemonchus_contortus_miR-87c ",19.9639211520515,3.56596547581913,0.625662023870362,5.69950762515514,1.20153950662997e-08,1.64761104846634e-06
"gmo-miR-184-3p_MIMAT0044176_Gadus_morhua_miR-184-3p ",659.77867007215,0.843118884668282,0.148675200161984,5.6708777506248,1.42067749664683e-08,1.7316480153573e-06
"tur-miR-184-3p_MIMAT0023073_Tetranychus_urticae_miR-184-3p ",1706.68203325267,1.01702303731113,0.180314343677653,5.6402780642302,1.69775768293256e-08,1.86244017817702e-06
"api-miR-184a_MIMAT0014132_Acyrthosiphon_pisum_miR-184a ",1715.36752539719,0.964708108508061,0.176226759832341,5.47424301182107,4.39385764460799e-08,4.01671819677914e-06
"dmo-miR-184-3p_MIMAT0008674_Drosophila_mojavensis_miR-184-3p ",1665.95605879637,1.07425214308077,0.19571166549767,5.48895304911478,4.0432306874285e-08,4.01671819677914e-06
"bdo-miR-184_MIMAT0045407_Bactrocera_dorsalis_miR-184 ",1667.0308382504,0.976851885664028,0.178927625151174,5.45948052928493,4.77529699723065e-08,4.02961600458617e-06
"hme-miR-184_MIMAT0024943_Heliconius_melpomene_miR-184 ",1666.00432555208,0.954914753871064,0.175819380421387,5.43122579309753,5.59682646784149e-08,4.38551331087294e-06
"cfa-miR-184_MIMAT0009842_Canis_familiaris_miR-184 ",712.913511339796,0.707177269910253,0.132379432642113,5.34204789819656,9.19023621281661e-08,5.60093840303323e-06
"der-miR-184-3p_MIMAT0008512_Drosophila_erecta_miR-184-3p ",1721.04843001033,0.965167334853257,0.180671221565727,5.34211993746961,9.18658370043324e-08,5.60093840303323e-06
"lva-miR-184-3p_MIMAT0032211_Lytechinus_variegatus_miR-184-3p ",1672.07623092226,0.984707332186973,0.183445627736652,5.36784301886215,7.96838612276283e-08,5.60093840303323e-06
"pte-miR-184-3p_MIMAT0046097_Parasteatoda_tepidariorum_miR-184-3p ",1719.68833944044,0.92842255438397,0.173296319078305,5.3574280130235,8.44149835652583e-08,5.60093840303323e-06
"oni-miR-184b_MIMAT0042665_Oreochromis_niloticus_miR-184b ",658.95644699837,0.755432501655363,0.142045466854559,5.31824435079545,1.04773301318076e-07,6.04927955504889e-06
"ame-miR-184-3p_MIMAT0001476_Apis_mellifera_miR-184-3p ",1690.62319154259,1.01711190117264,0.192620828968617,5.28038378102064,1.28913574126687e-07,6.68819603962492e-06
"dan-miR-184-3p_MIMAT0008436_Drosophila_ananassae_miR-184-3p ",1637.18490694991,0.984928626503179,0.186591233266914,5.2785364524295,1.30219763542075e-07,6.68819603962492e-06
"dya-miR-184-3p_MIMAT0009122_Drosophila_yakuba_miR-184-3p ",1707.15277112632,0.967944636992945,0.183562317046939,5.27311189227053,1.34129729144711e-07,6.68819603962492e-06
"pmi-miR-184-3p_MIMAT0032163_Patiria_miniata_miR-184-3p ",1668.67481261688,1.00585680761093,0.191083568081112,5.26396287086266,1.40982933816421e-07,6.72427297376582e-06
"dps-miR-184_MIMAT0001232_Drosophila_pseudoobscura_miR-184 ",1713.01391320874,0.926231719476337,0.177174751940486,5.22778617907965,1.7155174025522e-07,7.84134412749901e-06
"odi-let-7d_MIMAT0006077_Oikopleura_dioica_let-7d ",21.4771947332909,-2.06753188258503,0.396447278273436,-5.21514964509107,1.83668898733726e-07,8.05939127643591e-06
"aae-miR-184_MIMAT0014207_Aedes_aegypti_miR-184 ",1723.93061038311,0.992157347176985,0.192048327146445,5.16618583415425,2.38919254550758e-07,9.26698823935006e-06
"dwi-miR-184-3p_MIMAT0008989_Drosophila_willistoni_miR-184-3p ",1652.46987744997,1.00906706731719,0.195498823667912,5.16149943199282,2.44979634403967e-07,9.26698823935006e-06
"nvi-miR-184_MIMAT0015671_Nasonia_vitripennis_miR-184 ",1677.08712973573,0.993694571429896,0.192019793607884,5.17495906416337,2.27960955739504e-07,9.26698823935006e-06
"tca-miR-184-3p_MIMAT0008374_Tribolium_castaneum_miR-184-3p ",1680.56363167994,0.987184221328659,0.191072005392383,5.16655602845321,2.38446747318947e-07,9.26698823935006e-06
"oni-miR-184a_MIMAT0042773_Oreochromis_niloticus_miR-184a ",1671.90009145368,0.919913711625984,0.179161123798171,5.13456095900743,2.82803421831652e-07,1.00075920564298e-05
"spu-miR-184_MIMAT0009671_Strongylocentrotus_purpuratus_miR-184 ",1715.57844239022,0.946470970907015,0.184251991177664,5.13682899629772,2.7941298754953e-07,1.00075920564298e-05
"cja-miR-184_MIMAT0039492_Callithrix_jacchus_miR-184 ",711.00848028117,0.784486633539415,0.154800344622805,5.06773182870451,4.02584039078856e-07,1.34170290898712e-05
"dno-miR-184-3p_MIMAT0047704_Dasypus_novemcinctus_miR-184-3p ",716.016406348414,0.697501360709758,0.137648991580566,5.06724642658577,4.0361163169166e-07,1.34170290898712e-05
"dgr-miR-184-3p_MIMAT0008567_Drosophila_grimshawi_miR-184-3p ",1693.23026010299,0.938978426375096,0.186189699386313,5.0431276782228,4.57983434676192e-07,1.47767008188171e-05
"pma-let-7d_MIMAT0019568_Petromyzon_marinus_let-7d ",231.953826607726,-0.819280396093988,0.162756533733229,-5.03377884316986,4.80904448452762e-07,1.50729194272194e-05
"lgi-miR-184_MIMAT0009585_Lottia_gigantea_miR-184 ",1647.80235166938,0.99389521530268,0.197740303318833,5.02626525104567,5.00124020422543e-07,1.52398902889869e-05
"cin-miR-184_MIMAT0006108_Ciona_intestinalis_miR-184 ",1684.57576476388,0.986701885443931,0.197575627130675,4.99404658243264,5.91271265141554e-07,1.62841946359048e-05
"cqu-miR-184_MIMAT0014424_Culex_quinquefasciatus_miR-184 ",1721.91371112223,0.979244323762334,0.19702279228386,4.97020833179285,6.68810000623184e-07,1.62841946359048e-05
"dme-miR-184-3p_MIMAT0000331_Drosophila_melanogaster_miR-184-3p ",1615.14325082081,1.02031540428132,0.204133901083843,4.99826534869507,5.78483453662824e-07,1.62841946359048e-05
"dre-miR-184_MIMAT0001853_Danio_rerio_miR-184 ",1702.1396465769,0.911305294370504,0.18270105198763,4.98795865954951,6.10206216662117e-07,1.62841946359048e-05
"dvi-miR-184-3p_MIMAT0008949_Drosophila_virilis_miR-184-3p ",1636.11445350619,1.03293627259508,0.207595492148441,4.9757162928012,6.50068007573489e-07,1.62841946359048e-05
"isc-miR-184_MIMAT0012689_Ixodes_scapularis_miR-184 ",1674.14850044091,1.00196341009496,0.201817799343356,4.96469297234928,6.88098384612901e-07,1.62841946359048e-05
"mdo-miR-184-3p_MIMAT0004119_Monodelphis_domestica_miR-184-3p ",721.306696199591,0.762493671019547,0.153600218748934,4.96414443436357,6.90045782808102e-07,1.62841946359048e-05
