"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"tur-miR-263b-3p_MIMAT0023109_Tetranychus_urticae_miR-263b-3p ",12.2271219111802,3.5676284767213,0.970052559484762,3.67776822177164,0.000235283607749748,0.00243496337454221
"hco-miR-87c_MIMAT0023504_Haemonchus_contortus_miR-87c ",19.9639211520515,3.56596547581913,0.625662023870362,5.69950762515514,1.20153950662997e-08,1.64761104846634e-06
"cte-miR-92a_MIMAT0009520_Capitella_teleta_miR-92a ",39.7340025274544,2.68562092259874,0.419310013454203,6.40485759086711,1.50509798614894e-10,4.12773122701348e-08
"tur-miR-87-3p_MIMAT0023067_Tetranychus_urticae_miR-87-3p ",10.3814293027962,2.4299233589565,0.696505870041666,3.48873349597347,0.00048531474872586,0.00479630882299341
"pte-miR-100a-5p_MIMAT0046088_Parasteatoda_tepidariorum_miR-100a-5p ",183.232382973702,2.42358637254092,0.242462991351934,9.99569608139947,1.59165024169575e-23,8.73020157570119e-21
"gga-miR-184b-5p_MIMAT0049906_Gallus_gallus_miR-184b-5p ",393.600387308418,1.76685680206528,0.18289814395973,9.66033205046792,4.44421108235143e-22,1.62509985244651e-19
"osa-miR5077_MIMAT0020574_Oryza_sativa_miR5077 ",17.9170870620256,1.7317578808692,0.495421894597498,3.49552149340543,0.000473136345343059,0.00471845973492124
"ptr-miR-1290_MIMAT0008008_Pan_troglodytes_miR-1290 ",46.805134274361,1.61065594879089,0.534242168504757,3.01484241369194,0.00257112805848551,0.0227461893561178
"pte-miR-87c-3p_MIMAT0046230_Parasteatoda_tepidariorum_miR-87c-3p ",290.445170561036,1.5646130311028,0.156495913394884,9.99778842246723,1.55838411794198e-23,8.73020157570119e-21
"lva-miR-1-3p_MIMAT0032190_Lytechinus_variegatus_miR-1-3p ",21.8402715573848,1.54529025167814,0.397459762506974,3.88791620548263,0.000101108517486294,0.00112036407760066
"gmo-miR-1-3p_MIMAT0044042_Gadus_morhua_miR-1-3p ",21.9826814818974,1.4910430067805,0.406696513455042,3.66623011865412,0.000246152438092658,0.00252363761296866
"abu-miR-1_MIMAT0042115_Astatotilapia_burtoni_miR-1 ",20.9321225158552,1.38192739446304,0.391525216874373,3.52959997186198,0.000416188430291306,0.00418861200027122
"oan-miR-1a-3p_MIMAT0006863_Ornithorhynchus_anatinus_miR-1a-3p ",22.512925354899,1.36760202068138,0.416164671321014,3.28620403154419,0.00101547426498421,0.00960323507489377
"cin-miR-4185-3p_MIMAT0016803_Ciona_intestinalis_miR-4185-3p ",21.1666318762676,1.35176340441983,0.447428246707741,3.02118476954987,0.00251787662188132,0.0224561841805188
"abu-miR-153a_MIMAT0042081_Astatotilapia_burtoni_miR-153a ",22.1169263873936,1.22986552403234,0.385930768724803,3.18675167594457,0.00143880248128049,0.0132635825375184
"aca-miR-1a-3p_MIMAT0021840_Anolis_carolinensis_miR-1a-3p ",44.0816197045612,1.16620572534601,0.334757751298325,3.4837303119136,0.000494477473852458,0.00484323025728703
"eca-miR-1_MIMAT0012994_Equus_caballus_miR-1 ",24.6146272254767,1.13895989268438,0.3593548311683,3.16945757757451,0.00152723750870679,0.0139614962254279
"ssa-let-7j-5p_MIMAT0032263_Salmo_salar_let-7j-5p ",74.0365143004214,1.11374855987189,0.2672703518567,4.16712348427274,3.08467419780542e-05,0.000375987510554728
"dmo-miR-184-3p_MIMAT0008674_Drosophila_mojavensis_miR-184-3p ",1665.95605879637,1.07425214308077,0.19571166549767,5.48895304911478,4.0432306874285e-08,4.01671819677914e-06
"bbe-miR-184-3p_MIMAT0031602_Branchiostoma_belcheri_miR-184-3p ",2722.22969119402,1.06876165080134,0.237612572328937,4.49791709388932,6.86224449669891e-06,9.77647040633598e-05
"nbr-miR-184a_MIMAT0042477_Neolamprologus_brichardi_miR-184a ",2651.32010547111,1.05044434124588,0.238169948481361,4.41048229612431,1.03140638765318e-05,0.000137982049665309
