"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"pte-miR-87c-3p_MIMAT0046230_Parasteatoda_tepidariorum_miR-87c-3p ",290.445170561036,1.58949699032741,0.156952253680382,10.1272645218861,4.18184696603197e-24,4.58748612173707e-21
"pte-miR-100a-5p_MIMAT0046088_Parasteatoda_tepidariorum_miR-100a-5p ",183.232382973702,2.14382008407177,0.244386895738157,8.7722382887858,1.75149254950529e-18,9.60693663403654e-16
"gga-miR-184b-5p_MIMAT0049906_Gallus_gallus_miR-184b-5p ",393.600387308418,1.460109456497,0.184217851124739,7.92599331488413,2.2632976927183e-15,8.27612522970658e-13
"cte-miR-92a_MIMAT0009520_Capitella_teleta_miR-92a ",39.7340025274544,2.66909620816852,0.421045118875209,6.33921660295889,2.30936379036215e-10,6.3334301950682e-08
"tcf-miR-184-3p_MIMAT0041376_Triops_cancriformis_miR-184-3p ",1727.3742757761,1.02550836151373,0.172935164433546,5.93001640165441,3.02904422010629e-09,6.64572301891321e-07
"bdo-miR-184_MIMAT0045407_Bactrocera_dorsalis_miR-184 ",1667.0308382504,1.03542290536789,0.178975491424136,5.78527762169484,7.23926707619858e-09,1.32357933043164e-06
"tur-miR-184-3p_MIMAT0023073_Tetranychus_urticae_miR-184-3p ",1706.68203325267,1.03526521844965,0.180390876389415,5.73901096979425,9.52310522195585e-09,1.4924066326408e-06
"pte-miR-184-3p_MIMAT0046097_Parasteatoda_tepidariorum_miR-184-3p ",1719.68833944044,0.982597534293194,0.173347868071243,5.66835661278144,1.44173650609419e-08,1.97698118398165e-06
"hme-miR-184_MIMAT0024943_Heliconius_melpomene_miR-184 ",1666.00432555208,0.983435070480526,0.175892152835468,5.59112532666791,2.25602664730819e-08,2.7498458134412e-06
"tca-miR-184-3p_MIMAT0008374_Tribolium_castaneum_miR-184-3p ",1680.56363167994,1.04847831636731,0.191114644509969,5.48612231708186,4.10852464814691e-08,4.50705153901716e-06
"spu-miR-184_MIMAT0009671_Strongylocentrotus_purpuratus_miR-184 ",1715.57844239022,0.994012893970212,0.18430563933653,5.39328529256346,6.91809789950966e-08,6.89923035978372e-06
"aae-miR-184_MIMAT0014207_Aedes_aegypti_miR-184 ",1723.93061038311,1.03010631570572,0.192105221447441,5.36219842409409,8.22151557157641e-08,6.93769429386102e-06
"ame-miR-184-3p_MIMAT0001476_Apis_mellifera_miR-184-3p ",1690.62319154259,1.03470508752666,0.192693606554597,5.36969080618404,7.8871749242703e-08,6.93769429386102e-06
"dya-miR-184-3p_MIMAT0009122_Drosophila_yakuba_miR-184-3p ",1707.15277112632,0.976348291491803,0.183644421100475,5.31651484777545,1.05773595159964e-07,7.7355755926987e-06
"hco-miR-87c_MIMAT0023504_Haemonchus_contortus_miR-87c ",19.9639211520515,3.35741120229104,0.631123076603204,5.31974083464213,1.03915172535555e-07,7.7355755926987e-06
"dan-miR-184-3p_MIMAT0008436_Drosophila_ananassae_miR-184-3p ",1637.18490694991,0.98422890358969,0.186682685350429,5.27220240989227,1.3479629506185e-07,8.21508531571384e-06
"lva-miR-184-3p_MIMAT0032211_Lytechinus_variegatus_miR-184-3p ",1672.07623092226,0.969223154559049,0.183547808715282,5.28049428289552,1.28835844729969e-07,8.21508531571384e-06
"pmi-miR-184-3p_MIMAT0032163_Patiria_miniata_miR-184-3p ",1668.67481261688,1.01010142297607,0.191167276840026,5.28386154614395,1.26488862193308e-07,8.21508531571384e-06
"oni-miR-184a_MIMAT0042773_Oreochromis_niloticus_miR-184a ",1671.90009145368,0.941879372174891,0.179237362651444,5.25492764589785,1.48082676222424e-07,8.54982609557891e-06
"dps-miR-184_MIMAT0001232_Drosophila_pseudoobscura_miR-184 ",1713.01391320874,0.926748159665403,0.177266845468831,5.22798359283915,1.71368713767163e-07,9.39957395012888e-06
"api-miR-184a_MIMAT0014132_Acyrthosiphon_pisum_miR-184a ",1715.36752539719,0.918731475639663,0.176353799456252,5.20959275316079,1.89255578004114e-07,9.59284985586589e-06
"der-miR-184-3p_MIMAT0008512_Drosophila_erecta_miR-184-3p ",1721.04843001033,0.93832121536129,0.180781004489046,5.1903750508154,2.09870917539454e-07,9.59284985586589e-06
"dmo-miR-184-3p_MIMAT0008674_Drosophila_mojavensis_miR-184-3p ",1665.95605879637,1.01653654082601,0.195835330892183,5.19077194189065,2.09424008698565e-07,9.59284985586589e-06
"nvi-miR-184_MIMAT0015671_Nasonia_vitripennis_miR-184 ",1677.08712973573,0.99747695275066,0.192103240753009,5.1924004448896,2.07599885087326e-07,9.59284985586589e-06
"isc-miR-184_MIMAT0012689_Ixodes_scapularis_miR-184 ",1674.14850044091,1.04441376892193,0.201871136870367,5.17366566173648,2.29545414817755e-07,9.68505077134912e-06
"xla-miR-184-3p_MIMAT0046496_Xenopus_laevis_miR-184-3p ",2457.38604216734,0.807589159821877,0.15603875237565,5.17556791198686,2.2721876084093e-07,9.68505077134912e-06
"abu-miR-184a_MIMAT0042054_Astatotilapia_burtoni_miR-184a ",1643.21095672815,1.01354903565665,0.198908281571047,5.09555976076657,3.47712309409402e-07,1.41274223489672e-05
"ngi-miR-184_MIMAT0018398_Nasonia_giraulti_miR-184 ",1651.26316029507,1.00099143463415,0.197492061553445,5.0685147886983,4.00931836619043e-07,1.57079365989675e-05
"dwi-miR-184-3p_MIMAT0008989_Drosophila_willistoni_miR-184-3p ",1652.46987744997,0.987327168263469,0.195599419645559,5.04769988608648,4.4716083402489e-07,1.69150149974243e-05
"dgr-miR-184-3p_MIMAT0008567_Drosophila_grimshawi_miR-184-3p ",1693.23026010299,0.938459028080001,0.186278477121128,5.03793590426321,4.70578960903817e-07,1.72075040037162e-05
"dme-miR-184-3p_MIMAT0000331_Drosophila_melanogaster_miR-184-3p ",1615.14325082081,1.02495262637735,0.204214406715136,5.01900254180929,5.19404627066715e-07,1.83802218029738e-05
"dre-miR-184_MIMAT0001853_Danio_rerio_miR-184 ",1702.1396465769,0.913637267987008,0.182790097651037,4.99828644837876,5.78420171957243e-07,1.95754769722196e-05
"pny-miR-184a_MIMAT0042859_Pundamilia_nyererei_miR-184a ",1680.33239039158,1.03042791815367,0.206298817507469,4.99483191713575,5.88870319127845e-07,1.95754769722196e-05
"bmo-miR-184-3p_MIMAT0007902_Bombyx_mori_miR-184-3p ",1787.41405072588,0.967375968861838,0.197128110149921,4.90734663933076,9.23167893870548e-07,2.97857405757644e-05
"cin-miR-184_MIMAT0006108_Ciona_intestinalis_miR-184 ",1684.57576476388,0.964581418392796,0.197674238381749,4.87965162425462,1.0627339442074e-06,2.99340162256209e-05
