"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hco-miR-87c_MIMAT0023504_Haemonchus_contortus_miR-87c ",19.9639211520515,3.35741120229104,0.631123076603204,5.31974083464213,1.03915172535555e-07,7.7355755926987e-06
"cte-miR-92a_MIMAT0009520_Capitella_teleta_miR-92a ",39.7340025274544,2.66909620816852,0.421045118875209,6.33921660295889,2.30936379036215e-10,6.3334301950682e-08
"pte-miR-100a-5p_MIMAT0046088_Parasteatoda_tepidariorum_miR-100a-5p ",183.232382973702,2.14382008407177,0.244386895738157,8.7722382887858,1.75149254950529e-18,9.60693663403654e-16
"pte-miR-87c-3p_MIMAT0046230_Parasteatoda_tepidariorum_miR-87c-3p ",290.445170561036,1.58949699032741,0.156952253680382,10.1272645218861,4.18184696603197e-24,4.58748612173707e-21
"gga-miR-184b-5p_MIMAT0049906_Gallus_gallus_miR-184b-5p ",393.600387308418,1.460109456497,0.184217851124739,7.92599331488413,2.2632976927183e-15,8.27612522970658e-13
"ssa-let-7j-5p_MIMAT0032263_Salmo_salar_let-7j-5p ",74.0365143004214,1.23363343462695,0.267237137386065,4.61624999688864,3.90736218089004e-06,7.93773391191922e-05
"bbe-miR-184-3p_MIMAT0031602_Branchiostoma_belcheri_miR-184-3p ",2722.22969119402,1.11950792319161,0.237637180821877,4.71099648346167,2.4650849026535e-06,5.51877171063446e-05
"tca-miR-184-3p_MIMAT0008374_Tribolium_castaneum_miR-184-3p ",1680.56363167994,1.04847831636731,0.191114644509969,5.48612231708186,4.10852464814691e-08,4.50705153901716e-06
"isc-miR-184_MIMAT0012689_Ixodes_scapularis_miR-184 ",1674.14850044091,1.04441376892193,0.201871136870367,5.17366566173648,2.29545414817755e-07,9.68505077134912e-06
"bdo-miR-184_MIMAT0045407_Bactrocera_dorsalis_miR-184 ",1667.0308382504,1.03542290536789,0.178975491424136,5.78527762169484,7.23926707619858e-09,1.32357933043164e-06
"tur-miR-184-3p_MIMAT0023073_Tetranychus_urticae_miR-184-3p ",1706.68203325267,1.03526521844965,0.180390876389415,5.73901096979425,9.52310522195585e-09,1.4924066326408e-06
"ame-miR-184-3p_MIMAT0001476_Apis_mellifera_miR-184-3p ",1690.62319154259,1.03470508752666,0.192693606554597,5.36969080618404,7.8871749242703e-08,6.93769429386102e-06
"pny-miR-184a_MIMAT0042859_Pundamilia_nyererei_miR-184a ",1680.33239039158,1.03042791815367,0.206298817507469,4.99483191713575,5.88870319127845e-07,1.95754769722196e-05
