"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"cte-miR-92a_MIMAT0009520_Capitella_teleta_miR-92a ",58.4973384061279,3.22420708040409,0.512658554335058,6.28919005279456,3.19126583684028e-10,1.80944772948844e-07
"gga-miR-184b-5p_MIMAT0049906_Gallus_gallus_miR-184b-5p ",472.180738727548,2.26530070022923,0.3599204619948,6.29389251079023,3.09602254100396e-10,1.80944772948844e-07
"pte-miR-100a-5p_MIMAT0046088_Parasteatoda_tepidariorum_miR-100a-5p ",179.416995132493,2.75553599233972,0.486817066661523,5.66031098958082,1.51098924992816e-08,5.71153936472844e-06
"bmo-miR-12_MIMAT0009151_Bombyx_mori_miR-12 ",55.1037502207277,4.12906731365172,0.814705811887561,5.06816970420923,4.01659226082403e-07,0.000113870390594361
"cte-miR-281_MIMAT0009540_Capitella_teleta_miR-281 ",36.0770209366861,4.89582618987397,1.00258645872688,4.8831960049519,1.04380020691099e-06,0.000236733886927414
"bbe-miR-281-3p_MIMAT0031661_Branchiostoma_belcheri_miR-281-3p ",28.7487762366381,4.94401787625214,1.06411623706103,4.64612577466815,3.38226836589344e-06,0.000639248721153859
"dan-miR-289_MIMAT0008466_Drosophila_ananassae_miR-289 ",30.1945888801659,4.60980913976727,1.03507554429952,4.45359680764838,8.44436075873012e-06,0.00136798644291428
"hme-miR-12_MIMAT0024936_Heliconius_melpomene_miR-12 ",50.6870690581415,3.89807457441756,0.887736303687221,4.39102755877717,1.12816239071862e-05,0.00159917018884364
"aae-miR-184_MIMAT0014207_Aedes_aegypti_miR-184 ",1044.15926276422,1.53408057720958,0.390257359798724,3.93094592245689,8.46123037614835e-05,0.00272602905345459
"abu-miR-184a_MIMAT0042054_Astatotilapia_burtoni_miR-184a ",977.664545594073,1.54527017569715,0.396561170748168,3.89667544298848,9.75221687216514e-05,0.00272602905345459
"ame-miR-184-3p_MIMAT0001476_Apis_mellifera_miR-184-3p ",971.264267655439,1.41177260146079,0.366629636150433,3.85067780194814,0.000117791378852976,0.00272602905345459
"api-miR-184a_MIMAT0014132_Acyrthosiphon_pisum_miR-184a ",1029.09995534534,1.45735466227569,0.369973829139808,3.93907500339699,8.17963584789463e-05,0.00272602905345459
"bbe-miR-184-3p_MIMAT0031602_Branchiostoma_belcheri_miR-184-3p ",1345.02478814524,1.59424690197503,0.398915943648861,3.99644819255041,6.42999453804087e-05,0.00272602905345459
"bdo-miR-184_MIMAT0045407_Bactrocera_dorsalis_miR-184 ",995.771461426811,1.46955189167783,0.378241008971329,3.8852262362414,0.000102234639642538,0.00272602905345459
"cqu-miR-184_MIMAT0014424_Culex_quinquefasciatus_miR-184 ",1102.65777973982,1.68690711416142,0.433228113497463,3.89380804616526,9.86827479848424e-05,0.00272602905345459
"cte-miR-184a_MIMAT0009530_Capitella_teleta_miR-184a ",977.397229307795,1.43464223029957,0.371843760928494,3.85818556352073,0.00011423190751549,0.00272602905345459
"dan-miR-184-3p_MIMAT0008436_Drosophila_ananassae_miR-184-3p ",1003.77270865096,1.686596001032,0.41462344093527,4.06777773400251,4.74636212573371e-05,0.00272602905345459
"der-miR-184-3p_MIMAT0008512_Drosophila_erecta_miR-184-3p ",1052.01605523194,1.54728157269198,0.391889120874066,3.94826365488518,7.87200804905622e-05,0.00272602905345459
"der-miR-289_MIMAT0008555_Drosophila_erecta_miR-289 ",34.5821723100741,3.79856577127495,0.981849717085223,3.86878531935783,0.000109378892279398,0.00272602905345459
"dgr-miR-184-3p_MIMAT0008567_Drosophila_grimshawi_miR-184-3p ",1013.23396400242,1.37795063787745,0.355719309207306,3.87370210784482,0.000107194430134162,0.00272602905345459
"dmo-miR-184-3p_MIMAT0008674_Drosophila_mojavensis_miR-184-3p ",991.542691434837,1.61526951542375,0.39489268702781,4.0904011861582,4.3062765235918e-05,0.00272602905345459
"dpe-miR-184-3p_MIMAT0008701_Drosophila_persimilis_miR-184-3p ",978.583053158929,1.59939500356934,0.397411810513506,4.02452811229421,5.7089674439439e-05,0.00272602905345459
"dps-miR-184_MIMAT0001232_Drosophila_pseudoobscura_miR-184 ",1031.93267488092,1.51832012220674,0.3783219637427,4.01330154661432,5.98753438173746e-05,0.00272602905345459
"dps-miR-289_MIMAT0001253_Drosophila_pseudoobscura_miR-289 ",42.7898313838204,5.15989592380501,1.32081353024341,3.90660438105454,9.36022188081478e-05,0.00272602905345459
"dse-miR-184-3p_MIMAT0008822_Drosophila_sechellia_miR-184-3p ",961.697811673279,1.39015900485968,0.349637190778683,3.97600438833076,7.00828324734196e-05,0.00272602905345459
"dsi-miR-289_MIMAT0008873_Drosophila_simulans_miR-289 ",45.7610595966252,5.2716314066848,1.26574832875882,4.16483378797276,3.11579473233168e-05,0.00272602905345459
"dwi-miR-184-3p_MIMAT0008989_Drosophila_willistoni_miR-184-3p ",974.853846305254,1.40195359877693,0.351979542568933,3.9830542097553,6.80352287050661e-05,0.00272602905345459
