"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hpo-miR-10087-5p_MIMAT0040737_Heligmosomoides_polygyrus_miR-10087-5p ",165.71968607654,8.87225892820807,2.20951271542674,4.01548217679956,5.93243822250678e-05,0.00272602905345459
"pab-miR11466a_MIMAT0045007_Picea_abies_miR11466a ",261.885074713227,8.14385627836513,1.97631716797346,4.12072333850944,3.77684743435103e-05,0.00272602905345459
"mmu-miR-7648-5p_MIMAT0029798_Mus_musculus_miR-7648-5p ",46.6907625225792,5.57274666235432,1.47227552505969,3.78512484076537,0.000153631436000436,0.00290750311088041
"dsi-miR-289_MIMAT0008873_Drosophila_simulans_miR-289 ",45.7610595966252,5.2716314066848,1.26574832875882,4.16483378797276,3.11579473233168e-05,0.00272602905345459
"dps-miR-289_MIMAT0001253_Drosophila_pseudoobscura_miR-289 ",42.7898313838204,5.15989592380501,1.32081353024341,3.90660438105454,9.36022188081478e-05,0.00272602905345459
"dme-miR-289-5p_MIMAT0000364_Drosophila_melanogaster_miR-289-5p ",40.9916513247451,4.99059246510809,1.33143999385158,3.74826690512078,0.000178060713432675,0.0029270317711645
"bbe-miR-281-3p_MIMAT0031661_Branchiostoma_belcheri_miR-281-3p ",28.7487762366381,4.94401787625214,1.06411623706103,4.64612577466815,3.38226836589344e-06,0.000639248721153859
"cte-miR-281_MIMAT0009540_Capitella_teleta_miR-281 ",36.0770209366861,4.89582618987397,1.00258645872688,4.8831960049519,1.04380020691099e-06,0.000236733886927414
"mdo-miR-12370-3p_MIMAT0050307_Monodelphis_domestica_miR-12370-3p ",44.9789293571902,4.81902540895026,1.26751419698625,3.80194984830023,0.000143561791566447,0.00285612406379562
"dan-miR-289_MIMAT0008466_Drosophila_ananassae_miR-289 ",30.1945888801659,4.60980913976727,1.03507554429952,4.45359680764838,8.44436075873012e-06,0.00136798644291428
"bmo-miR-12_MIMAT0009151_Bombyx_mori_miR-12 ",55.1037502207277,4.12906731365172,0.814705811887561,5.06816970420923,4.01659226082403e-07,0.000113870390594361
"hme-miR-12_MIMAT0024936_Heliconius_melpomene_miR-12 ",50.6870690581415,3.89807457441756,0.887736303687221,4.39102755877717,1.12816239071862e-05,0.00159917018884364
"der-miR-289_MIMAT0008555_Drosophila_erecta_miR-289 ",34.5821723100741,3.79856577127495,0.981849717085223,3.86878531935783,0.000109378892279398,0.00272602905345459
"hco-miR-87c_MIMAT0023504_Haemonchus_contortus_miR-87c ",10.7732750787672,3.38624930341406,0.844350392121653,4.01047874793451,6.05957547382283e-05,0.00272602905345459
"cte-miR-92a_MIMAT0009520_Capitella_teleta_miR-92a ",58.4973384061279,3.22420708040409,0.512658554335058,6.28919005279456,3.19126583684028e-10,1.80944772948844e-07
"pte-miR-100a-5p_MIMAT0046088_Parasteatoda_tepidariorum_miR-100a-5p ",179.416995132493,2.75553599233972,0.486817066661523,5.66031098958082,1.51098924992816e-08,5.71153936472844e-06
"gga-miR-184b-5p_MIMAT0049906_Gallus_gallus_miR-184b-5p ",472.180738727548,2.26530070022923,0.3599204619948,6.29389251079023,3.09602254100396e-10,1.80944772948844e-07
"nbr-miR-184a_MIMAT0042477_Neolamprologus_brichardi_miR-184a ",1278.58493882095,1.7128798057039,0.407184564317378,4.20664228413336,2.59192919692375e-05,0.00272602905345459
