"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"tur-miR-263b-3p_MIMAT0023109_Tetranychus_urticae_miR-263b-3p ",21.7182497120123,4.12370733254671,1.06342118767296,3.87777428205136,0.000105416451009251,0.0170774650634986
"hco-miR-87c_MIMAT0023504_Haemonchus_contortus_miR-87c ",10.7732750787672,3.51723966037719,0.81588271523299,4.31096234141053,1.62545588952733e-05,0.00460816744680998
"tur-miR-87-3p_MIMAT0023067_Tetranychus_urticae_miR-87-3p ",7.64043811522119,2.93738601969352,0.904817128015764,3.24638640090193,0.00116880083354045,0.0277365653953187
"cte-miR-92a_MIMAT0009520_Capitella_teleta_miR-92a ",58.4973384061279,2.53189123426172,0.498643284439091,5.07756007806215,3.82312637881763e-07,0.00021677126567896
"pte-miR-100a-5p_MIMAT0046088_Parasteatoda_tepidariorum_miR-100a-5p ",179.416995132493,2.05443678863141,0.476542125357772,4.31113364235954,1.62419699571824e-05,0.00460816744680998
"gga-miR-184b-5p_MIMAT0049906_Gallus_gallus_miR-184b-5p ",472.180738727548,1.79367164941537,0.352968027082732,5.08168307548987,3.74105210512729e-07,0.00021677126567896
"pte-miR-87c-3p_MIMAT0046230_Parasteatoda_tepidariorum_miR-87c-3p ",166.880506740103,1.58963689814309,0.378177414047345,4.20341574905391,2.62917039650425e-05,0.00596295845927163
"bbe-miR-184-3p_MIMAT0031602_Branchiostoma_belcheri_miR-184-3p ",1345.02478814524,1.29609780054108,0.396013673158317,3.27286123785662,0.00106464730854851,0.0277365653953187
"dya-miR-184-3p_MIMAT0009122_Drosophila_yakuba_miR-184-3p ",1058.03241832291,1.28063874333571,0.363208297429333,3.52590717888233,0.000422034858206084,0.0277365653953187
"ccr-miR-184_MIMAT0026244_Cyprinus_carpio_miR-184 ",962.731586893833,1.26294449839729,0.376911655201871,3.35077061419304,0.000805870266107755,0.0277365653953187
"oni-miR-184a_MIMAT0042773_Oreochromis_niloticus_miR-184a ",1035.80988212838,1.25886957882883,0.388211311109198,3.24274317312389,0.001183848740479,0.0277365653953187
"dse-miR-184-3p_MIMAT0008822_Drosophila_sechellia_miR-184-3p ",961.697811673279,1.2587697887045,0.344852247551041,3.6501713346618,0.00026206544283815,0.0254487558826143
"mze-miR-184a_MIMAT0042285_Metriaclima_zebra_miR-184a ",915.257496518438,1.2449129624484,0.346569489764113,3.59210201479574,0.000328021383625155,0.0277365653953187
"ipu-miR-184_MIMAT0029441_Ictalurus_punctatus_miR-184 ",1046.59822749081,1.23929247598972,0.367165347287914,3.37529803709369,0.000737357904135992,0.0277365653953187
"mse-miR-184_MIMAT0024477_Manduca_sexta_miR-184 ",957.84141947506,1.23839791899389,0.355747343560859,3.48111641986732,0.000499328407351748,0.0277365653953187
"spu-miR-184_MIMAT0009671_Strongylocentrotus_purpuratus_miR-184 ",1034.92743331535,1.23384850233338,0.384249196505067,3.21106332441507,0.00132244789668358,0.0277365653953187
"lgi-miR-184_MIMAT0009585_Lottia_gigantea_miR-184 ",960.409356812627,1.23285866446228,0.365697014348693,3.37125712294371,0.000748259848039702,0.0277365653953187
"ngi-miR-184_MIMAT0018398_Nasonia_giraulti_miR-184 ",945.19812589155,1.22570828304681,0.369733062301469,3.31511679106319,0.00091604843414026,0.0277365653953187
"dwi-miR-184-3p_MIMAT0008989_Drosophila_willistoni_miR-184-3p ",974.853846305254,1.22255140512794,0.347357498113459,3.51957683875478,0.000432235812908717,0.0277365653953187
"pny-miR-184a_MIMAT0042859_Pundamilia_nyererei_miR-184a ",981.454647409253,1.21427884504041,0.35597960434054,3.41109105756182,0.000647034793717404,0.0277365653953187
"sko-miR-184-3p_MIMAT0009633_Saccoglossus_kowalevskii_miR-184-3p ",1067.52198427218,1.21352993474596,0.383774659969328,3.16208979207471,0.00156641255645923,0.0286501909520124
"dgr-miR-184-3p_MIMAT0008567_Drosophila_grimshawi_miR-184-3p ",1013.23396400242,1.21035993612958,0.351243059632323,3.44593267521519,0.000569092121407133,0.0277365653953187
"dps-miR-184_MIMAT0001232_Drosophila_pseudoobscura_miR-184 ",1031.93267488092,1.2072316989669,0.374447735107192,3.22403258393675,0.00126399016497627,0.0277365653953187
"bdo-miR-184_MIMAT0045407_Bactrocera_dorsalis_miR-184 ",995.771461426811,1.20596162552151,0.374129894216347,3.22337681154167,0.00126688777595357,0.0277365653953187
"cin-miR-184_MIMAT0006108_Ciona_intestinalis_miR-184 ",1034.36550487295,1.19991224614227,0.376041256506696,3.19090585242981,0.00141827488203124,0.0282162055477793
"mdo-miR-184-3p_MIMAT0004119_Monodelphis_domestica_miR-184-3p ",764.362252270207,1.19904979036921,0.321305741140842,3.73180319191252,0.000190114011020906,0.0254487558826143
"lva-miR-184-3p_MIMAT0032211_Lytechinus_variegatus_miR-184-3p ",967.852826216178,1.19462544839213,0.362713044387508,3.29358281119838,0.000989191980565513,0.0277365653953187
