"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mle-miR-981-3p_MIMAT0048732_Melibe_leonina_miR-981-3p ",188754.194256089,-0.965092082607218,0.153408938813016,-6.29097684968364,3.15474385340639e-10,2.93391178366794e-07
"aca-miR-99b-5p_MIMAT0021998_Anolis_carolinensis_miR-99b-5p ",125.703690539589,1.31638908136438,0.238276812844535,5.52462098871227,3.30197630477591e-08,1.40360220884914e-05
"mle-miR-745a-5p_MIMAT0048714_Melibe_leonina_miR-745a-5p ",977.271137990465,-0.99346628502637,0.181656614618519,-5.46892436101299,4.52774906080367e-08,1.40360220884914e-05
"lgi-miR-981_MIMAT0009601_Lottia_gigantea_miR-981 ",391.906768266319,-0.803918781677828,0.158338303968776,-5.07722238730283,3.82992506126487e-07,8.90457576744082e-05
"lgi-miR-1984_MIMAT0009726_Lottia_gigantea_miR-1984 ",17650.0757966454,1.07502537900445,0.223051295166916,4.81963298262839,1.43822559211177e-06,0.000196381009175416
"lgi-miR-29_MIMAT0009565_Lottia_gigantea_miR-29 ",584.097089567091,-0.766105538046762,0.157299769115666,-4.87035386227062,1.11398565797138e-06,0.000196381009175416
"mle-miR-1175-5p_MIMAT0048797_Melibe_leonina_miR-1175-5p ",100.531921072987,2.04287222820739,0.426715765626172,4.78743086796814,1.68929900365949e-06,0.000196381009175416
"mle-miR-1984-5p_MIMAT0048799_Melibe_leonina_miR-1984-5p ",16745.7574365734,1.05848508518321,0.220690121918977,4.79625039842885,1.61663176191624e-06,0.000196381009175416
"hru-miR-1984_MIMAT0009715_Haliotis_rufescens_miR-1984 ",17787.6468026089,1.04100427032158,0.221222870317993,4.70568105741148,2.53019829876254e-06,0.000261453824205462
"lgi-miR-1175-5p_MIMAT0009602_Lottia_gigantea_miR-1175-5p ",26.5019889871943,2.77505510230595,0.609982687322593,4.54939977802739,5.37991493095026e-06,0.00046811434684416
"lgi-miR-96b_MIMAT0009576_Lottia_gigantea_miR-96b ",522.335449903637,-0.803726941307487,0.176902003883119,-4.5433456018877,5.53683636052232e-06,0.00046811434684416
"mle-miR-124-5p_MIMAT0048747_Melibe_leonina_miR-124-5p ",237.462185153333,-0.922407374925957,0.20510223325842,-4.49730536948255,6.8820110779436e-06,0.000533355858540629
"ami-miR-99b-5p_MIMAT0038112_Alligator_mississippiensis_miR-99b-5p ",137.514286003363,1.24697116372462,0.281880190807918,4.42376301843199,9.6996415700884e-06,0.000693897435398631
"cte-miR-29a_MIMAT0009513_Capitella_teleta_miR-29a ",594.871183662719,-0.73680302835888,0.169558865232298,-4.34541141419796,1.39014865896973e-05,0.000923455894887032
"cte-miR-1175-5p_MIMAT0009549_Capitella_teleta_miR-1175-5p ",27.6328779704641,3.19012841784213,0.754099817356255,4.23037951265679,2.3329737750085e-05,0.00144644374050527
"mle-miR-12104-3p_MIMAT0048849_Melibe_leonina_miR-12104-3p ",10639.6503947155,-0.662716902780012,0.157646457516999,-4.20381728342073,2.62450824907687e-05,0.00152549541977593
"mle-miR-29a-3p_MIMAT0048719_Melibe_leonina_miR-29a-3p ",652.2837801015,-0.717487477209983,0.172647469482429,-4.15579492338291,3.24158493073476e-05,0.00177333763857843
"pbv-miR-99b-5p_MIMAT0038897_Python_bivittatus_miR-99b-5p ",137.252169756235,1.12050639950069,0.273779594948811,4.09273159933703,4.26321088274984e-05,0.00220265895608742
"hru-miR-1985_MIMAT0009716_Haliotis_rufescens_miR-1985 ",12630.7420485323,0.833320594847437,0.207749691963704,4.01117607911076,6.04170282918004e-05,0.00286504984703042
"mle-miR-2a-3p_MIMAT0048681_Melibe_leonina_miR-2a-3p ",10996.4625572116,-0.481955947191631,0.120292226021868,-4.00654275949649,6.16139752049553e-05,0.00286504984703042
"lgi-miR-2d_MIMAT0009559_Lottia_gigantea_miR-2d ",8442.47547455704,-0.475643335259431,0.121901408963276,-3.90186905389029,9.54527928424165e-05,0.00422719511159273
"bbe-miR-29b-3p_MIMAT0031665_Branchiostoma_belcheri_miR-29b-3p ",80.5511186854202,-1.96140246082589,0.526155623690331,-3.72779910070917,0.000193159254612751,0.00816536849044813
"bta-miR-2889_MIMAT0013847_Bos_taurus_miR-2889 ",695.387134062961,-1.59487249678643,0.451291631237425,-3.53401744325137,0.000409294065847968,0.0158601450516088
"dsi-miR-92b_MIMAT0008879_Drosophila_simulans_miR-92b ",173.073830150718,1.3877442056237,0.391731250199395,3.54259254250798,0.000396214375434783,0.0158601450516088
"pbv-miR-124b-3p_MIMAT0038912_Python_bivittatus_miR-124b-3p ",212.548395940016,1.45812194444015,0.414707702396643,3.51602330029921,0.000438062537960198,0.0162959264121194
"bmo-miR-92b_MIMAT0009155_Bombyx_mori_miR-92b ",264.50785685153,1.40823333902751,0.406822082057663,3.46154597091883,0.000537082385338952,0.017838807798758
"hme-let-7_MIMAT0024931_Heliconius_melpomene_let-7 ",1909.97450316161,-0.446833409319096,0.128515949107415,-3.47687125545506,0.000507301350893778,0.017838807798758
"tca-miR-137-3p_MIMAT0008373_Tribolium_castaneum_miR-137-3p ",119.817979941299,-1.05796265966904,0.304863689907005,-3.47028096390147,0.000519914199763903,0.017838807798758
"lgi-miR-1985_MIMAT0009727_Lottia_gigantea_miR-1985 ",16560.304381362,0.622125401203693,0.18252626214114,3.40841582962254,0.000653412397280793,0.0209542596369358
"fhe-miR-87_MIMAT0045220_Fasciola_hepatica_miR-87 ",641.136209603561,0.537333559068466,0.1583537904849,3.39324721828939,0.000690692730838085,0.0214114746559806
"lgi-miR-745a_MIMAT0009598_Lottia_gigantea_miR-745a ",5537.50894317861,0.824219129284511,0.246859277355707,3.33882176968731,0.000841345269826975,0.0232303505669861
"mle-miR-745a-3p_MIMAT0048715_Melibe_leonina_miR-745a-3p ",42322.7724788067,-0.740385380206434,0.221923914888471,-3.33621268612947,0.000849281633631749,0.0232303505669861
"odi-miR-124a_MIMAT0006082_Oikopleura_dioica_miR-124a ",201.527773414611,1.5545180154237,0.465722761994886,3.33786136791993,0.000844258604983556,0.0232303505669861
"tgu-miR-100-5p_MIMAT0014511_Taeniopygia_guttata_miR-100-5p ",194.632376337282,0.730831688750123,0.218277229264529,3.34818107785504,0.000813438436903324,0.0232303505669861
"pca-let-7-5p_MIMAT0045828_Polistes_canadensis_let-7-5p ",1902.70576477834,-0.420468872069038,0.126985061978252,-3.31116798715309,0.000929074167481767,0.0246868278788012
"emu-miR-124b-3p_MIMAT0020267_Echinococcus_multilocularis_miR-124b-3p ",95.9408249846423,2.3352211333872,0.714326697979051,3.26912201377034,0.00107881769881713,0.0278694572194424
"dme-miR-92b-3p_MIMAT0000358_Drosophila_melanogaster_miR-92b-3p ",171.911365817165,1.25572592766729,0.385155224194393,3.26031129473531,0.00111289995159657,0.0279728906752651
"gmo-miR-10544-3p_MIMAT0044415_Gadus_morhua_miR-10544-3p ",34.7952375343178,-2.39462216081975,0.745421630428336,-3.21243986365642,0.0013161269874482,0.0292957167856699
"hme-miR-92b_MIMAT0024994_Heliconius_melpomene_miR-92b ",62.3507714616777,1.4035837731304,0.438049341360741,3.20416820801591,0.00135453314170302,0.0292957167856699
"isc-miR-71_MIMAT0012703_Ixodes_scapularis_miR-71 ",1689.50289422128,-0.57765228056293,0.180073194492743,-3.20787489881626,0.00133719651093088,0.0292957167856699
"lgi-miR-317_MIMAT0009597_Lottia_gigantea_miR-317 ",828.843160072,-0.517515233413443,0.160716492387514,-3.2200505730652,0.00128167983922513,0.0292957167856699
"oha-miR-99b-5p_MIMAT0036966_Ophiophagus_hannah_miR-99b-5p ",148.44420170144,0.950348384933302,0.294666876095243,3.22516191004152,0.00125901443638457,0.0292957167856699
"ptr-miR-1290_MIMAT0008008_Pan_troglodytes_miR-1290 ",40.1865048448234,1.84453684897828,0.572385545150829,3.22254268054975,0.00127058234757072,0.0292957167856699
"dse-miR-92b_MIMAT0008774_Drosophila_sechellia_miR-92b ",166.538687082365,1.24815574119156,0.392560457168045,3.17952488183814,0.00147516704114786,0.0311796670060797
