"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-7704_MIMAT0030019_Homo_sapiens_miR-7704 ",26.4397058793342,3.66726051551177,1.1596013295251,3.16251837777183,0.00156410862760111,0.0315118743248163
"cte-miR-1175-5p_MIMAT0009549_Capitella_teleta_miR-1175-5p ",27.6328779704641,3.19012841784213,0.754099817356255,4.23037951265679,2.3329737750085e-05,0.00144644374050527
"lgi-miR-1175-5p_MIMAT0009602_Lottia_gigantea_miR-1175-5p ",26.5019889871943,2.77505510230595,0.609982687322593,4.54939977802739,5.37991493095026e-06,0.00046811434684416
"emu-miR-124b-3p_MIMAT0020267_Echinococcus_multilocularis_miR-124b-3p ",95.9408249846423,2.3352211333872,0.714326697979051,3.26912201377034,0.00107881769881713,0.0278694572194424
"mle-miR-1175-5p_MIMAT0048797_Melibe_leonina_miR-1175-5p ",100.531921072987,2.04287222820739,0.426715765626172,4.78743086796814,1.68929900365949e-06,0.000196381009175416
"ptr-miR-1290_MIMAT0008008_Pan_troglodytes_miR-1290 ",40.1865048448234,1.84453684897828,0.572385545150829,3.22254268054975,0.00127058234757072,0.0292957167856699
"odi-miR-124a_MIMAT0006082_Oikopleura_dioica_miR-124a ",201.527773414611,1.5545180154237,0.465722761994886,3.33786136791993,0.000844258604983556,0.0232303505669861
"pbv-miR-124b-3p_MIMAT0038912_Python_bivittatus_miR-124b-3p ",212.548395940016,1.45812194444015,0.414707702396643,3.51602330029921,0.000438062537960198,0.0162959264121194
"bmo-miR-92b_MIMAT0009155_Bombyx_mori_miR-92b ",264.50785685153,1.40823333902751,0.406822082057663,3.46154597091883,0.000537082385338952,0.017838807798758
"aca-miR-124b_MIMAT0021726_Anolis_carolinensis_miR-124b ",210.17179285602,1.4076484314377,0.458184257358757,3.07223220534074,0.00212464377194167,0.0373812224812
"hme-miR-92b_MIMAT0024994_Heliconius_melpomene_miR-92b ",62.3507714616777,1.4035837731304,0.438049341360741,3.20416820801591,0.00135453314170302,0.0292957167856699
"cqu-miR-124_MIMAT0014360_Culex_quinquefasciatus_miR-124 ",188.627882318756,1.3951697386538,0.447614228770333,3.11690212012819,0.00182762240849834,0.033993776798069
"dsi-miR-92b_MIMAT0008879_Drosophila_simulans_miR-92b ",173.073830150718,1.3877442056237,0.391731250199395,3.54259254250798,0.000396214375434783,0.0158601450516088
"aca-miR-99b-5p_MIMAT0021998_Anolis_carolinensis_miR-99b-5p ",125.703690539589,1.31638908136438,0.238276812844535,5.52462098871227,3.30197630477591e-08,1.40360220884914e-05
"dya-miR-92b_MIMAT0009120_Drosophila_yakuba_miR-92b ",171.6983125307,1.28795540642733,0.407933187800192,3.15727046718782,0.00159253558415738,0.0315118743248163
"dme-miR-92b-3p_MIMAT0000358_Drosophila_melanogaster_miR-92b-3p ",171.911365817165,1.25572592766729,0.385155224194393,3.26031129473531,0.00111289995159657,0.0279728906752651
"dse-miR-92b_MIMAT0008774_Drosophila_sechellia_miR-92b ",166.538687082365,1.24815574119156,0.392560457168045,3.17952488183814,0.00147516704114786,0.0311796670060797
"ami-miR-99b-5p_MIMAT0038112_Alligator_mississippiensis_miR-99b-5p ",137.514286003363,1.24697116372462,0.281880190807918,4.42376301843199,9.6996415700884e-06,0.000693897435398631
"mse-miR-92b_MIMAT0024487_Manduca_sexta_miR-92b ",262.015435253173,1.21695848107465,0.395482958258958,3.07714518580546,0.00208993481016708,0.0373812224812
"pbv-miR-99b-5p_MIMAT0038897_Python_bivittatus_miR-99b-5p ",137.252169756235,1.12050639950069,0.273779594948811,4.09273159933703,4.26321088274984e-05,0.00220265895608742
"lgi-miR-1984_MIMAT0009726_Lottia_gigantea_miR-1984 ",17650.0757966454,1.07502537900445,0.223051295166916,4.81963298262839,1.43822559211177e-06,0.000196381009175416
"mle-miR-1984-5p_MIMAT0048799_Melibe_leonina_miR-1984-5p ",16745.7574365734,1.05848508518321,0.220690121918977,4.79625039842885,1.61663176191624e-06,0.000196381009175416
"hru-miR-1984_MIMAT0009715_Haliotis_rufescens_miR-1984 ",17787.6468026089,1.04100427032158,0.221222870317993,4.70568105741148,2.53019829876254e-06,0.000261453824205462
"oha-miR-99b-5p_MIMAT0036966_Ophiophagus_hannah_miR-99b-5p ",148.44420170144,0.950348384933302,0.294666876095243,3.22516191004152,0.00125901443638457,0.0292957167856699
"hru-miR-1985_MIMAT0009716_Haliotis_rufescens_miR-1985 ",12630.7420485323,0.833320594847437,0.207749691963704,4.01117607911076,6.04170282918004e-05,0.00286504984703042
"ame-miR-750-3p_MIMAT0018615_Apis_mellifera_miR-750-3p ",754.496143298963,0.827996815811411,0.270070892961962,3.06584988382303,0.00217052259568258,0.0373812224812
"lgi-miR-745a_MIMAT0009598_Lottia_gigantea_miR-745a ",5537.50894317861,0.824219129284511,0.246859277355707,3.33882176968731,0.000841345269826975,0.0232303505669861
"tgu-miR-100-5p_MIMAT0014511_Taeniopygia_guttata_miR-100-5p ",194.632376337282,0.730831688750123,0.218277229264529,3.34818107785504,0.000813438436903324,0.0232303505669861
"lgi-miR-1985_MIMAT0009727_Lottia_gigantea_miR-1985 ",16560.304381362,0.622125401203693,0.18252626214114,3.40841582962254,0.000653412397280793,0.0209542596369358
"fhe-miR-87_MIMAT0045220_Fasciola_hepatica_miR-87 ",641.136209603561,0.537333559068466,0.1583537904849,3.39324721828939,0.000690692730838085,0.0214114746559806
"pca-let-7-5p_MIMAT0045828_Polistes_canadensis_let-7-5p ",1902.70576477834,-0.420468872069038,0.126985061978252,-3.31116798715309,0.000929074167481767,0.0246868278788012
"hme-let-7_MIMAT0024931_Heliconius_melpomene_let-7 ",1909.97450316161,-0.446833409319096,0.128515949107415,-3.47687125545506,0.000507301350893778,0.017838807798758
"lgi-miR-2d_MIMAT0009559_Lottia_gigantea_miR-2d ",8442.47547455704,-0.475643335259431,0.121901408963276,-3.90186905389029,9.54527928424165e-05,0.00422719511159273
"mle-miR-2a-3p_MIMAT0048681_Melibe_leonina_miR-2a-3p ",10996.4625572116,-0.481955947191631,0.120292226021868,-4.00654275949649,6.16139752049553e-05,0.00286504984703042
"tcf-miR-71-5p_MIMAT0041361_Triops_cancriformis_miR-71-5p ",812.711159819441,-0.510792736804959,0.163200296669362,-3.12985176638379,0.00174894533417492,0.0333600434517617
"lgi-miR-317_MIMAT0009597_Lottia_gigantea_miR-317 ",828.843160072,-0.517515233413443,0.160716492387514,-3.2200505730652,0.00128167983922513,0.0292957167856699
"tur-miR-71-5p_MIMAT0023040_Tetranychus_urticae_miR-71-5p ",1682.34679482452,-0.558301605778233,0.178463030071179,-3.12838802274934,0.00175767970874874,0.0333600434517617
"isc-miR-71_MIMAT0012703_Ixodes_scapularis_miR-71 ",1689.50289422128,-0.57765228056293,0.180073194492743,-3.20787489881626,0.00133719651093088,0.0292957167856699
