"","RSB441-01","RSB441-02","RSB441-03","RSB441-04","RSB441-05","RSB441-06"
"aae-miR-100_MIMAT0014291_Aedes_aegypti_miR-100 ",568.719773264913,633.207090813331,383.538242807521,504.353514335769,471.968653251394,566.54703413964
"aae-miR-124_MIMAT0014282_Aedes_aegypti_miR-124 ",41.174282227324,89.6576411771088,40.1018538056121,33.4810948782219,133.694542460946,125.242931426073
"aae-miR-137_MIMAT0014274_Aedes_aegypti_miR-137 ",20.587141113662,22.4144102942772,25.706316542059,17.8090930203308,14.3564609354036,21.8584361451164
"aae-miR-184_MIMAT0014207_Aedes_aegypti_miR-184 ",1933.90456836462,1555.93364792774,1537.23772921513,1664.79401554052,1437.44065115729,1206.94013633711
"aae-miR-2b_MIMAT0014306_Aedes_aegypti_miR-2b ",576.439951182536,293.255201350127,709.494336560829,815.656460331151,452.228519465214,489.156354815038
"aae-miR-2c_MIMAT0014308_Aedes_aegypti_miR-2c ",29.5940153508891,29.8858803923696,47.2996224373886,45.5912781320469,42.1721039977481,56.7137802684102
"aae-miR-317_MIMAT0014224_Aedes_aegypti_miR-317 ",39.8875859077201,20.5465427697541,39.0736011439297,48.4407330152998,51.1448920823754,48.4430206459337
"aae-miR-34-5p_MIMAT0014245_Aedes_aegypti_miR-34-5p ",23.1605337528698,82.1861710790164,66.8364230093535,69.8116446396968,99.5979477393626,98.6583469252553
"aae-miR-71-5p_MIMAT0014220_Aedes_aegypti_miR-71-5p ",115.802668764349,56.036025735693,91.5144868897302,74.7981906853894,84.3442079954963,58.4860859017981
"aae-miR-8-3p_MIMAT0014215_Aedes_aegypti_miR-8-3p ",46.3210675057395,31.7537479168927,31.8758325121532,27.0698213909028,27.8156430623445,21.2676676006538
"abu-let-7a_MIMAT0042056_Astatotilapia_burtoni_let-7a ",559.712899027686,437.081000738406,628.262376287923,758.667362666093,548.237351970726,535.236301283122
"abu-let-7c_MIMAT0042114_Astatotilapia_burtoni_let-7c ",548.132632151251,410.930855395082,552.171679323428,713.788448254859,489.914229420649,498.017882981977
"abu-miR-1_MIMAT0042115_Astatotilapia_burtoni_miR-1 ",20.587141113662,13.0750726716617,21.5933058953296,23.5080027868367,15.2537397438663,15.9507507004904
"abu-miR-100_MIMAT0042041_Astatotilapia_burtoni_miR-100 ",585.446825419763,577.171065077638,394.849022086027,527.149153401792,498.887017505276,596.08546136277
"abu-miR-124_MIMAT0042170_Astatotilapia_burtoni_miR-124 ",118.376061403557,186.78675245231,157.322657237401,126.088378583942,211.757798797203,200.861305117286
"abu-miR-153a_MIMAT0042081_Astatotilapia_burtoni_miR-153a ",14.1536595156426,13.0750726716617,21.5933058953296,17.0967292995176,11.6646245100154,17.7230563338782
"abu-miR-184a_MIMAT0042054_Astatotilapia_burtoni_miR-184a ",1919.75090884898,1522.31203248633,1553.68977180205,1612.79146392116,1325.28080009945,1089.96796453351
"abu-miR-184b_MIMAT0042068_Astatotilapia_burtoni_miR-184b ",833.779215103311,1017.98780086509,567.595469248663,619.756437107512,935.861797226624,893.242039227461
"abu-miR-33-5p_MIMAT0042163_Astatotilapia_burtoni_miR-33-5p ",41.174282227324,7.4714700980924,35.9888431588826,31.3440037157822,11.6646245100154,10.6338338003269
"aca-let-7a-5p_MIMAT0021692_Anolis_carolinensis_let-7a-5p ",563.572987986497,416.534457968651,635.460144919699,767.215727315851,498.887017505276,537.00860691651
"aca-let-7c-5p_MIMAT0021696_Anolis_carolinensis_let-7c-5p ",530.118883676797,448.288205885544,567.595469248663,667.484806401999,554.518303629965,484.430206459338
"aca-miR-100_MIMAT0021709_Anolis_carolinensis_miR-100 ",562.286291666893,608.924812994531,380.453484822474,460.899327366162,537.470006269173,597.857766996158
"aca-miR-124a_MIMAT0021725_Anolis_carolinensis_miR-124a ",307.520420385326,315.669611644404,359.888431588826,346.208768315231,397.494512148988,385.771859534082
"aca-miR-124b_MIMAT0021726_Anolis_carolinensis_miR-124b ",46.3210675057395,113.939918995909,41.1301064672945,30.631639994969,132.797263652484,131.741385415161
"aca-miR-184-3p_MIMAT0021814_Anolis_carolinensis_miR-184-3p ",972.74241762053,1286.96072439642,654.996945491664,690.280445468022,1091.98830989914,1023.8018875537
"aca-miR-1a-3p_MIMAT0021840_Anolis_carolinensis_miR-1a-3p ",55.3279417429666,44.8288205885544,42.1583591289768,56.2767339442454,33.1993159131209,31.9015014009808
"aca-miR-99b-5p_MIMAT0021998_Anolis_carolinensis_miR-99b-5p ",50.1811564645511,102.732713848771,21.5933058953296,34.9058223198484,60.1176801670027,79.1629849579893
"aga-miR-100_MIMAT0001498_Anopheles_gambiae_miR-100 ",832.492518783707,790.107962873272,546.002163353334,681.732080818264,672.061827538582,731.96222658917
"aga-miR-124_MIMAT0001499_Anopheles_gambiae_miR-124 ",343.547917334235,339.951889463204,387.65125345425,348.345859477671,416.337367126705,391.679544978708
"aga-miR-137_MIMAT0010107_Anopheles_gambiae_miR-137 ",12.8669631960388,7.4714700980924,27.7628218654238,14.9596381370779,23.3292490200309,20.6768990561912
"aga-miR-184_MIMAT0001504_Anopheles_gambiae_miR-184 ",822.198948226876,1090.83463432149,568.623721910346,619.044073386699,942.142748885863,882.017436882672
"aga-miR-2_MIMAT0009202_Anopheles_gambiae_miR-2 ",42.4609785469279,44.8288205885544,52.4408857458004,38.4676409239146,55.631286124689,57.3045488128729
"aga-miR-8_MIMAT0001525_Anopheles_gambiae_miR-8 ",43.7476748665318,28.0180128678465,33.9323378355179,39.892368365541,17.9455761692545,18.3138248783408
"age-miR-100_MIMAT0002418_Ateles_geoffroyi_miR-100 ",814.478770309253,808.786638118503,486.363508975757,681.01971709745,625.40332949852,772.134487612627
"age-miR-124a_MIMAT0002466_Ateles_geoffroyi_miR-124a ",328.107561498988,311.933876595358,351.662410295368,365.442588777188,384.035330022047,392.270313523171
"aja-miR-29b_MIMAT0031135_Artibeus_jamaicensis_miR-29b ",11.5802668764349,5.6036025735693,12.3390319401883,9.97309209138526,22.4319702115682,22.4492046895791
"ame-let-7-5p_MIMAT0004418_Apis_mellifera_let-7-5p ",326.820865179384,289.519466301081,322.871335768261,374.70331714776,362.500638618941,301.291957675929
"ame-miR-100-5p_MIMAT0004420_Apis_mellifera_miR-100-5p ",689.669227307677,678.035911401886,462.713697757063,607.646253853687,549.134630779189,601.402378262934
"ame-miR-124-3p_MIMAT0001473_Apis_mellifera_miR-124-3p ",279.213101354041,285.783731252034,390.736011439297,346.921132036044,395.699954532062,389.316470800858
"ame-miR-137-3p_MIMAT0004421_Apis_mellifera_miR-137-3p ",42.4609785469279,14.9429401961848,37.017095820565,42.741823248794,18.8428549777173,26.5845845008173
