"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"fhe-miR-124_MIMAT0045222_Fasciola_hepatica_miR-124 ",90.0599344124587,4.48076376032557,0.387534731799509,11.5622249895364,6.40279473452707e-31,5.88416836103037e-28
"sma-miR-124a-3p_MIMAT0025026_Schistosoma_mansoni_miR-124a-3p ",88.9507988256034,4.10431738675214,0.378231276914474,10.8513431787933,1.96515991727428e-27,9.02990981987532e-25
"lgi-miR-1994a_MIMAT0009724_Lottia_gigantea_miR-1994a ",734.913474516278,2.3514327601394,0.221467828681405,10.6174913717246,2.47112801837929e-26,6.45779386846916e-24
"sja-miR-124-3p_MIMAT0016263_Schistosoma_japonicum_miR-124-3p ",89.3984066333965,4.06251323480871,0.383058675560182,10.6054594087126,2.81079167289191e-26,6.45779386846916e-24
"mle-miR-1994a-3p_MIMAT0048822_Melibe_leonina_miR-1994a-3p ",744.442256550384,2.24446126250388,0.218943193208405,10.2513406770653,1.16713298307438e-24,2.14519042289072e-22
"cte-miR-981_MIMAT0009548_Capitella_teleta_miR-981 ",2657.04447646862,1.61664596832002,0.163964611973792,9.85972490563038,6.22196241602922e-23,9.52997243388476e-21
"gga-miR-124c-5p_MIMAT0025599_Gallus_gallus_miR-124c-5p ",57.7132703720541,4.89044916664169,0.524388781910166,9.32599883015705,1.09943106220023e-20,1.44339592308859e-18
"lva-miR-92a-3p_MIMAT0032201_Lytechinus_variegatus_miR-92a-3p ",172.562118918598,2.37986130398716,0.262795682163102,9.05593761814594,1.35399459658147e-19,1.55540129282297e-17
"sma-miR-124b-5p_MIMAT0033618_Schistosoma_mansoni_miR-124b-5p ",60.6094826666924,4.30276812464794,0.482905934696626,8.91015789100016,5.09599389274287e-19,5.20357598603411e-17
"hru-miR-1985_MIMAT0009716_Haliotis_rufescens_miR-1985 ",7747.21714323741,1.29603065847656,0.151949524458424,8.52934988178375,1.47172440192342e-17,1.35251472536763e-15
