"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gsa-miR-124b-3p_MIMAT0035293_Gyrodactylus_salaris_miR-124b-3p ",47.1275608263239,6.16137342036243,0.792696880445158,7.77267272315032,7.68471104711683e-15,5.04446389450026e-13
"emu-miR-124b-3p_MIMAT0020267_Echinococcus_multilocularis_miR-124b-3p ",40.0363240107946,5.37522239357438,0.683348658223066,7.86600270431752,3.66152629460299e-15,2.5884174344155e-13
"gsa-miR-124a-3p_MIMAT0035275_Gyrodactylus_salaris_miR-124a-3p ",41.8673767099781,4.97471430542374,0.606654143879497,8.20024779458506,2.39892025112391e-16,2.00418882798443e-14
"gga-miR-124c-5p_MIMAT0025599_Gallus_gallus_miR-124c-5p ",57.7132703720541,4.89044916664169,0.524388781910166,9.32599883015705,1.09943106220023e-20,1.44339592308859e-18
"egr-miR-124b-3p_MIMAT0020242_Echinococcus_granulosus_miR-124b-3p ",40.1678630794098,4.74332830726243,0.599498391688553,7.91216185568459,2.52957217267848e-15,1.9372306889096e-13
"fhe-miR-124_MIMAT0045222_Fasciola_hepatica_miR-124 ",90.0599344124587,4.48076376032557,0.387534731799509,11.5622249895364,6.40279473452707e-31,5.88416836103037e-28
"sma-miR-124b-5p_MIMAT0033618_Schistosoma_mansoni_miR-124b-5p ",60.6094826666924,4.30276812464794,0.482905934696626,8.91015789100016,5.09599389274287e-19,5.20357598603411e-17
"sma-miR-124a-3p_MIMAT0025026_Schistosoma_mansoni_miR-124a-3p ",88.9507988256034,4.10431738675214,0.378231276914474,10.8513431787933,1.96515991727428e-27,9.02990981987532e-25
"sja-miR-124-3p_MIMAT0016263_Schistosoma_japonicum_miR-124-3p ",89.3984066333965,4.06251323480871,0.383058675560182,10.6054594087126,2.81079167289191e-26,6.45779386846916e-24
"cte-miR-1994_MIMAT0009702_Capitella_teleta_miR-1994 ",52.3384551891212,3.00447608269312,0.389829603293854,7.70715219497669,1.28656336589319e-14,7.88234488837228e-13
"dmo-miR-92a_MIMAT0008633_Drosophila_mojavensis_miR-92a ",27.4947751507168,2.9720308403492,0.524235022335148,5.66927182222701,1.4340569570747e-08,3.9936313440959e-07
"dsi-miR-92a_MIMAT0008898_Drosophila_simulans_miR-92a ",25.1440304881522,2.88262078810686,0.55629437990492,5.18182619173601,2.19723918405853e-07,4.3897017611952e-06
"dwi-miR-92a_MIMAT0008998_Drosophila_willistoni_miR-92a ",24.5914812429639,2.84884262069586,0.533546479022215,5.3394460139943,9.32310259875166e-08,2.14198282206319e-06
"cla-miR-1994_MIMAT0009714_Cerebratulus_lacteus_miR-1994 ",38.8916333823401,2.75357323993564,0.454052663411279,6.06443582832035,1.32417634771832e-09,4.44455243342397e-08
"lgi-miR-1994b_MIMAT0009725_Lottia_gigantea_miR-1994b ",40.0863640168796,2.66960830515969,0.423478692237489,6.30399676322453,2.90066553203501e-10,1.15900505388703e-08
"lva-miR-92a-3p_MIMAT0032201_Lytechinus_variegatus_miR-92a-3p ",172.562118918598,2.37986130398716,0.262795682163102,9.05593761814594,1.35399459658147e-19,1.55540129282297e-17
"dvi-miR-92a-3p_MIMAT0008979_Drosophila_virilis_miR-92a-3p ",30.8546271607366,2.35207249137458,0.45856172148063,5.12923861978728,2.90916394100426e-07,5.45616665669982e-06
"lgi-miR-1994a_MIMAT0009724_Lottia_gigantea_miR-1994a ",734.913474516278,2.3514327601394,0.221467828681405,10.6174913717246,2.47112801837929e-26,6.45779386846916e-24
"mle-miR-1994a-3p_MIMAT0048822_Melibe_leonina_miR-1994a-3p ",744.442256550384,2.24446126250388,0.218943193208405,10.2513406770653,1.16713298307438e-24,2.14519042289072e-22
"tcf-miR-1175-3p_MIMAT0041418_Triops_cancriformis_miR-1175-3p ",55.7250814976353,2.12737819158041,0.37343813345967,5.69673528482906,1.22123317649694e-08,3.50722902875215e-07
"spu-miR-92a_MIMAT0009662_Strongylocentrotus_purpuratus_miR-92a ",168.540341056205,2.06980341588159,0.277442370135493,7.4603003674989,8.63254579338047e-14,4.95831849007291e-12
"oha-miR-124-4-3p_MIMAT0036671_Ophiophagus_hannah_miR-124-4-3p ",103.424936706966,1.86020876204541,0.272941182062414,6.81541989372652,9.3988835201096e-12,4.54609155525301e-10
"ami-miR-99b-5p_MIMAT0038112_Alligator_mississippiensis_miR-99b-5p ",61.4099909517073,1.80241479676052,0.342788346839477,5.25809822118766,1.45552777426255e-07,3.04006823760746e-06
"str-miR-124-3p_MIMAT0033439_Strongyloides_ratti_miR-124-3p ",79.780052594113,1.79867346925481,0.287641845112094,6.253170391651,4.02202902575292e-10,1.54010194777789e-08
"mle-miR-1994b-3p_MIMAT0048824_Melibe_leonina_miR-1994b-3p ",1625.35970778683,1.73843815971498,0.24581274261183,7.07220521297465,1.52490682991127e-12,8.24346692169682e-11
"aca-miR-124b_MIMAT0021726_Anolis_carolinensis_miR-124b ",82.7602303385928,1.70923231321659,0.288762839396443,5.91915606865878,3.23597782897871e-09,1.02547021545912e-07
"odi-miR-124a_MIMAT0006082_Oikopleura_dioica_miR-124a ",92.9372055098914,1.68642958678528,0.274678052249297,6.13965904074011,8.26987907919193e-10,3.04000754951095e-08
"cqu-miR-124_MIMAT0014360_Culex_quinquefasciatus_miR-124 ",75.0068772746749,1.68232814765317,0.298865174132106,5.62905381176844,1.81200865273724e-08,4.89775279960449e-07
"dwi-miR-92b_MIMAT0008991_Drosophila_willistoni_miR-92b ",96.0770090683521,1.6563084609699,0.284607476383723,5.81962386236395,5.89802031688268e-09,1.80676022373839e-07
"aae-miR-124_MIMAT0014282_Aedes_aegypti_miR-124 ",77.225390995881,1.6303470512411,0.298536963020222,5.46112292008097,4.73132301481172e-08,1.11489380784922e-06
"dpe-miR-92b_MIMAT0008756_Drosophila_persimilis_miR-92b ",98.0759846348559,1.61733352875761,0.266849925055849,6.06083561169867,1.35416178602689e-09,4.44455243342397e-08
"cte-miR-981_MIMAT0009548_Capitella_teleta_miR-981 ",2657.04447646862,1.61664596832002,0.163964611973792,9.85972490563038,6.22196241602922e-23,9.52997243388476e-21
"sme-miR-124b-3p_MIMAT0003993_Schmidtea_mediterranea_miR-124b-3p ",135.531489767395,1.58104290166123,0.244125769292893,6.4763458042168,9.39705516056815e-11,3.92540622389188e-09
"pbv-miR-124b-3p_MIMAT0038912_Python_bivittatus_miR-124b-3p ",84.0371651429329,1.55246900697316,0.304742325989804,5.09436620571408,3.49909837380642e-07,6.3052380500551e-06
"mle-miR-92b-3p_MIMAT0048738_Melibe_leonina_miR-92b-3p ",882.620491493468,1.54066727316792,0.2185250223562,7.05030140967842,1.78530644831403e-12,9.11498125555887e-11
"cja-miR-124_MIMAT0039425_Callithrix_jacchus_miR-124 ",80.9980643798147,1.53615197384291,0.296821929873665,5.1753318041451,2.27506302372022e-07,4.44847429531678e-06
"der-miR-92b_MIMAT0008543_Drosophila_erecta_miR-92b ",98.3931630103156,1.51146390827651,0.269347245765241,5.61158107996351,2.00486311863899e-08,5.2641977315121e-07
"bmo-miR-92b_MIMAT0009155_Bombyx_mori_miR-92b ",126.418403360569,1.50533540521108,0.246583202190731,6.10477677245309,1.0294445681169e-09,3.63869060807472e-08
"dan-miR-92b_MIMAT0008405_Drosophila_ananassae_miR-92b ",92.321752868523,1.45463844247565,0.282436564144524,5.15031914115518,2.60043586968606e-07,4.9787511755031e-06
"bdo-miR-92b_MIMAT0045385_Bactrocera_dorsalis_miR-92b ",98.2322680124359,1.44083398812755,0.281128685867227,5.12517598011335,2.97259967112244e-07,5.46363819552304e-06
"dps-miR-92b_MIMAT0001227_Drosophila_pseudoobscura_miR-92b ",88.5183301314015,1.40647501760322,0.27809517106361,5.05753124811187,4.24718851224349e-07,7.50608892836878e-06
"tca-let-7-5p_MIMAT0008354_Tribolium_castaneum_let-7-5p ",117.023349708553,1.3824789549836,0.250913654851644,5.50977967221835,3.59283127636325e-08,8.92381606210223e-07
"lgi-miR-2c_MIMAT0009558_Lottia_gigantea_miR-2c ",248.017500270277,1.31492371480017,0.226416572570884,5.80754182377047,6.33967183944272e-09,1.87940594207995e-07
"mse-let-7a_MIMAT0024437_Manduca_sexta_let-7a ",109.532802348388,1.31402955955886,0.260447815858752,5.04527002933862,4.52881311715852e-07,7.62367829493889e-06
"hru-miR-1985_MIMAT0009716_Haliotis_rufescens_miR-1985 ",7747.21714323741,1.29603065847656,0.151949524458424,8.52934988178375,1.47172440192342e-17,1.35251472536763e-15
"sme-miR-124a-3p_MIMAT0003992_Schmidtea_mediterranea_miR-124a-3p ",233.669995379154,1.08593480187163,0.204694416621002,5.30515106272911,1.12579725928303e-07,2.47417316881118e-06
"lgi-miR-745a_MIMAT0009598_Lottia_gigantea_miR-745a ",3205.47764728531,1.06387731841354,0.161631858188411,6.58210163724899,4.63844311261596e-11,2.02987105737813e-09
"isc-miR-750_MIMAT0012704_Ixodes_scapularis_miR-750 ",909.183570145042,1.0325766963522,0.204719984271606,5.04384904105041,4.56259310360869e-07,7.62367829493889e-06
"lgi-miR-1985_MIMAT0009727_Lottia_gigantea_miR-1985 ",10473.9770683476,0.996809945770658,0.148613000965917,6.70742088035263,1.98094301024787e-11,9.10243313208895e-10
"hru-miR-1984_MIMAT0009715_Haliotis_rufescens_miR-1984 ",13659.1096103132,0.874096209906526,0.158329054833487,5.52075682398157,3.37542645254004e-08,8.6167136385675e-07
