"","RSB441-07","RSB441-08","RSB441-09","RSB441-13","RSB441-14","RSB441-15"
"aae-miR-100_MIMAT0014291_Aedes_aegypti_miR-100 ",308.725949847891,322.143732901412,315.222424903287,285.482265148206,348.684529442608,541.416704634538
"aae-miR-124_MIMAT0014282_Aedes_aegypti_miR-124 ",27.8805373210651,22.0320113074903,23.1244249929053,82.8819479462534,44.6641027524738,32.8131336142144
"aae-miR-184_MIMAT0014207_Aedes_aegypti_miR-184 ",1279.78466434743,1167.10113953192,1112.40654965871,873.190623312549,682.1426602196,1739.09608155337
"aae-miR-2b_MIMAT0014306_Aedes_aegypti_miR-2b ",454.928767507135,414.439996486845,532.470312336634,233.994994454322,269.507256381405,49.2197004213217
"aae-miR-2c_MIMAT0014308_Aedes_aegypti_miR-2c ",27.2005242156733,24.4138503677595,45.0317749861839,38.0922083995407,38.5735432862274,0
"aae-miR-317_MIMAT0014224_Aedes_aegypti_miR-317 ",26.5205111102814,23.2229308376249,29.8183374908515,29.3016987688775,32.482983819981,0
"aae-miR-34-5p_MIMAT0014245_Aedes_aegypti_miR-34-5p ",37.4007207965507,38.7048847293749,41.9890874871174,68.2310985618147,72.0716203505828,82.0328340355361
"aae-miR-71-5p_MIMAT0014220_Aedes_aegypti_miR-71-5p ",55.0810615367383,52.9959190909902,53.5512999835701,54.8360362674707,55.3225818184051,16.4065668071072
"aae-miR-8-3p_MIMAT0014215_Aedes_aegypti_miR-8-3p ",15.6403014240121,20.2456320122884,15.8219749951457,10.046296720758,27.4075175981089,0
"abu-let-7a_MIMAT0042056_Astatotilapia_burtoni_let-7a ",324.366251271904,317.380054780874,352.951749891712,282.552095271319,408.067484238511,164.065668071072
"abu-let-7c_MIMAT0042114_Astatotilapia_burtoni_let-7c ",308.0459367425,313.211836425403,337.738312396379,248.64584383876,370.001487574471,147.659101263965
"abu-miR-1_MIMAT0042115_Astatotilapia_burtoni_miR-1 ",14.2802752132285,18.4592527170865,15.8219749951457,11.3020838108527,4.56791959968482,16.4065668071072
"abu-miR-100_MIMAT0042041_Astatotilapia_burtoni_miR-100 ",316.206094007202,328.693790317153,358.428587390031,285.482265148206,365.433567974786,623.449538670074
"abu-miR-124_MIMAT0042170_Astatotilapia_burtoni_miR-124 ",95.2018347548564,75.0279303984805,82.152562474795,116.369603682113,68.0112473730852,49.2197004213217
"abu-miR-153a_MIMAT0042081_Astatotilapia_burtoni_miR-153a ",18.3603538455794,14.2910343616153,21.2988124934654,10.8834881141545,5.58301284405923,0
"abu-miR-184a_MIMAT0042054_Astatotilapia_burtoni_miR-184a ",1177.78269853865,1058.72746228967,1097.80164966319,799.517780693657,644.584210177747,1640.65668071072
"abu-miR-184b_MIMAT0042068_Astatotilapia_burtoni_miR-184b ",488.249409671335,433.494708968998,455.794587360159,593.15010222142,477.601371478158,820.328340355361
"abu-miR-33-5p_MIMAT0042163_Astatotilapia_burtoni_miR-33-5p ",18.3603538455794,15.4819538917499,23.7329624927185,7.11612684387025,18.7792250209265,0
"aca-let-7a-5p_MIMAT0021692_Anolis_carolinensis_let-7a-5p ",315.52608090181,330.480169612355,350.517599892459,261.203714739708,393.856178817269,164.065668071072
"aca-let-7c-5p_MIMAT0021696_Anolis_carolinensis_let-7c-5p ",286.285517369961,332.862008672624,337.738312396379,263.296693223199,368.986394330096,49.2197004213217
"aca-miR-100_MIMAT0021709_Anolis_carolinensis_miR-100 ",319.606159534161,334.052928202758,320.699262401607,279.621925394431,370.509034196658,525.010137827431
"aca-miR-124a_MIMAT0021725_Anolis_carolinensis_miR-124a ",238.004586887141,179.233389285259,214.813737434094,212.228018226013,115.213083236495,32.8131336142144
"aca-miR-124b_MIMAT0021726_Anolis_carolinensis_miR-124b ",37.4007207965507,30.3684480184326,27.3841874915983,76.1844167990814,40.6037297749762,32.8131336142144
"aca-miR-184-3p_MIMAT0021814_Anolis_carolinensis_miR-184-3p ",535.850327048763,517.454535843489,546.46667483234,694.450260822396,586.723895248406,1263.30564414726
"aca-miR-1a-3p_MIMAT0021840_Anolis_carolinensis_miR-1a-3p ",21.7604193725386,41.0867237896441,32.861024989918,17.5810192613265,13.7037587990545,0
"aca-miR-99b-5p_MIMAT0021998_Anolis_carolinensis_miR-99b-5p ",31.2806028480242,14.2910343616153,22.515887493092,41.0223782764285,69.5338872396468,65.6262672284289
"aga-miR-100_MIMAT0001498_Anopheles_gambiae_miR-100 ",448.128636453217,497.2089038312,460.662887358665,342.829875595867,445.118387658177,590.63640505586
"aga-miR-124_MIMAT0001499_Anopheles_gambiae_miR-124 ",243.444691730276,217.938274014634,203.860062437454,235.669377241115,123.841375813677,16.4065668071072
"aga-miR-184_MIMAT0001504_Anopheles_gambiae_miR-184 ",497.769593146821,407.889939071104,443.01529986408,585.196783984153,480.646651211281,803.921773548254
"aga-miR-2_MIMAT0009202_Anopheles_gambiae_miR-2 ",25.8404980048896,20.8410917773557,29.8183374908515,37.6736127028425,49.7395689743459,16.4065668071072
"aga-miR-8_MIMAT0001525_Anopheles_gambiae_miR-8 ",13.6002621078366,17.2683331869519,20.0817374938388,15.069445081137,22.3320513762369,16.4065668071072
"age-miR-100_MIMAT0002418_Ateles_geoffroyi_miR-100 ",462.408911666445,454.931260511421,453.968974860719,381.759275388804,453.746680235359,738.295506319825
"age-miR-124a_MIMAT0002466_Ateles_geoffroyi_miR-124a ",270.645215945949,178.637929520192,200.208837438574,216.413975192995,117.243269725244,49.2197004213217
"ame-let-7-5p_MIMAT0004418_Apis_mellifera_let-7-5p ",177.483420507268,191.738044351672,218.464962432973,184.18210654723,270.014803003592,82.0328340355361
"ame-miR-100-5p_MIMAT0004420_Apis_mellifera_miR-100-5p ",374.687221070899,418.608214842316,376.68471238443,312.272389736894,399.946738283516,557.823271441645
"ame-miR-124-3p_MIMAT0001473_Apis_mellifera_miR-124-3p ",257.724966943504,190.547124821538,220.290574932413,221.855719250072,141.60550759023,32.8131336142144
"ame-miR-137-3p_MIMAT0004421_Apis_mellifera_miR-137-3p ",20.4003931617549,19.0547124821538,18.8646624942122,16.3252321712317,11.1660256881185,0
"ame-miR-184-3p_MIMAT0001476_Apis_mellifera_miR-184-3p ",1228.78368144304,1158.16924305591,1086.84797466655,844.30752024037,651.182316266181,1443.77787902544
"ame-miR-2-3p_MIMAT0001485_Apis_mellifera_miR-2-3p ",31.2806028480242,24.4138503677595,32.2524874901047,35.5806342193512,47.709382485597,0
"ame-miR-281-3p_MIMAT0001483_Apis_mellifera_miR-281-3p ",7.48014415931015,5.95459765067306,1.82561249943989,4.60455266368075,248.190298249542,0
"ame-miR-2b-5p_MIMAT0037292_Apis_mellifera_miR-2b-5p ",17.0003276347958,11.9091953013461,25.5585749921584,46.0455266368075,81.2074595499524,16.4065668071072
"ame-miR-317-3p_MIMAT0001488_Apis_mellifera_miR-317-3p ",36.0406945857671,22.0320113074903,29.8183374908515,30.138890162274,32.482983819981,0
"ame-miR-750-3p_MIMAT0018615_Apis_mellifera_miR-750-3p ",199.243839879807,154.819538917499,124.750187461726,450.408969647317,520.74283436407,49.2197004213217
"ame-miR-8-3p_MIMAT0001490_Apis_mellifera_miR-8-3p ",12.9202490024448,15.4819538917499,17.0390499947723,17.5810192613265,12.1811189324929,0
"ame-miR-87-3p_MIMAT0004434_Apis_mellifera_miR-87-3p ",128.522476919056,108.969137007317,125.358724961539,147.345685237784,138.560227857106,32.8131336142144
"ami-let-7a-5p_MIMAT0037999_Alligator_mississippiensis_let-7a-5p ",338.646526485132,353.107640684912,362.688349888724,286.738052238301,410.605217349447,114.845967649751
"ami-let-7c-5p_MIMAT0038005_Alligator_mississippiensis_let-7c-5p ",330.48636922043,309.043618069932,341.998074895072,272.505798550561,361.880741619475,114.845967649751
"ami-miR-100-5p_MIMAT0038114_Alligator_mississippiensis_miR-100-5p ",452.88872819096,463.267697222364,450.926287361652,348.690215349642,444.103294413802,442.977303791895
"ami-miR-124-3p_MIMAT0038126_Alligator_mississippiensis_miR-124-3p ",219.644233041562,163.155975628442,208.728362435961,214.320996709504,124.856469058052,32.8131336142144
"ami-miR-184-3p_MIMAT0038199_Alligator_mississippiensis_miR-184-3p ",625.612056960485,579.977811175556,572.633787324312,841.79594606018,668.946448042733,1624.25011390361
"ami-miR-1a-3p_MIMAT0038019_Alligator_mississippiensis_miR-1a-3p ",10.8802096862693,13.1001148314807,20.0817374938388,10.046296720758,5.58301284405923,0
"ami-miR-99b-5p_MIMAT0038112_Alligator_mississippiensis_miR-99b-5p ",11.5602227916611,19.6501722472211,19.4731999940255,39.3479954896355,65.9810608843363,32.8131336142144
"api-miR-100_MIMAT0014687_Acyrthosiphon_pisum_miR-100 ",61.2011794852648,73.8370108683459,66.9391249794626,59.8591846278497,75.116900083706,508.603571020324
"api-miR-124_MIMAT0014712_Acyrthosiphon_pisum_miR-124 ",260.445019365071,219.129193544768,219.073499932787,218.506953676486,135.514948123983,82.0328340355361
"api-miR-137_MIMAT0014126_Acyrthosiphon_pisum_miR-137 ",15.6403014240121,13.695574596548,18.8646624942122,14.2322536877405,9.64338582155685,0
"api-miR-184a_MIMAT0014132_Acyrthosiphon_pisum_miR-184a ",1272.98453329351,1197.46958755035,1113.62362465833,900.399343597935,695.338872396468,1607.84354709651
"api-miR-184b_MIMAT0014715_Acyrthosiphon_pisum_miR-184b ",1991.75838569267,1926.31233999273,1839.60886193559,3147.00244777744,2442.31434596482,6234.49538670074
"api-miR-252a_MIMAT0014719_Acyrthosiphon_pisum_miR-252a ",79.5615333308443,79.1961487539516,71.8074249779689,150.275855114672,64.9659676399619,65.6262672284289
"api-miR-281_MIMAT0014134_Acyrthosiphon_pisum_miR-281 ",2.04003931617549,1.19091953013461,0.608537499813296,2.5115741801895,108.107430525874,0
"api-miR-2a_MIMAT0014727_Acyrthosiphon_pisum_miR-2a ",110.842136178869,97.0599417059708,136.920937457992,120.136964952398,242.099738783296,49.2197004213217
"api-miR-317_MIMAT0014732_Acyrthosiphon_pisum_miR-317 ",29.9205766372406,23.2229308376249,27.3841874915983,26.3715288919897,29.4377040868578,0
"api-miR-71_MIMAT0014735_Acyrthosiphon_pisum_miR-71 ",882.657010798597,720.50631573144,788.056062258219,844.726115937068,647.629489910871,65.6262672284289
"api-miR-87a_MIMAT0014739_Acyrthosiphon_pisum_miR-87a ",114.92221481122,119.687412778528,122.924574962286,144.834111057594,151.756440033974,16.4065668071072
"api-miR-87b_MIMAT0014738_Acyrthosiphon_pisum_miR-87b ",92.4817823332891,89.3189647600958,70.5903499783423,89.5794790934254,58.3678615515283,32.8131336142144
"asu-let-7-5p_MIMAT0021417_Ascaris_suum_let-7-5p ",323.686238166512,339.412066088364,376.076174884617,261.622310436406,411.112763971634,114.845967649751
"asu-miR-100a-5p_MIMAT0021487_Ascaris_suum_miR-100a-5p ",1262.78433671263,1284.40671325018,1169.00053714134,1053.1867728928,1209.4836006721,2362.54562022344
"asu-miR-124-3p_MIMAT0021496_Ascaris_suum_miR-124-3p ",213.524115093035,210.197297068759,213.596662434467,215.1581881029,120.796096080554,49.2197004213217
"asu-miR-34-5p_MIMAT0021437_Ascaris_suum_miR-34-5p ",161.843119083256,155.414998682567,148.483149954444,187.112276424118,163.937558966466,131.252534456858
"asu-miR-71-5p_MIMAT0021466_Ascaris_suum_miR-71-5p ",114.92221481122,100.632700296375,86.4123249734881,139.392367000517,108.614977148061,0
"asu-miR-87b-3p_MIMAT0021484_Ascaris_suum_miR-87b-3p ",157.083027345513,151.246780327096,152.742912453137,138.555175607121,144.650787323353,0
"ath-miR5658_MIMAT0022431_Arabidopsis_thaliana_miR5658 ",27.2005242156733,43.4685628499133,31.0354124904781,29.3016987688775,27.9150642202961,1132.0531096904
"bbe-let-7a-5p_MIMAT0031568_Branchiostoma_belcheri_let-7a-5p ",337.286500274348,354.298560215047,340.780999895446,260.78511904301,400.96183152789,147.659101263965
"bbe-miR-100-5p_MIMAT0031570_Branchiostoma_belcheri_miR-100-5p ",383.527391440993,366.80321528146,405.894512375469,336.550940145393,384.212792995712,574.229838248753
"bbe-miR-124-3p_MIMAT0031578_Branchiostoma_belcheri_miR-124-3p ",235.964547570965,181.615228345528,192.297849941002,215.1581881029,121.811189324929,16.4065668071072
"bbe-miR-184-3p_MIMAT0031602_Branchiostoma_belcheri_miR-184-3p ",2035.27922443775,1801.86124909367,1789.7087869509,1107.60421346357,854.708511763249,2231.29308576658
"bbe-miR-22-3p_MIMAT0031653_Branchiostoma_belcheri_miR-22-3p ",10.2001965808775,6.55005741574036,15.2134374953324,21.3483805316107,9.64338582155685,0
"bbe-miR-281-3p_MIMAT0031661_Branchiostoma_belcheri_miR-281-3p ",4.76009173774282,2.97729882533653,0.608537499813296,3.76736127028425,220.275234029246,16.4065668071072
"bbe-miR-29b-3p_MIMAT0031665_Branchiostoma_belcheri_miR-29b-3p ",75.4814546984933,59.5459765067306,77.2842624762886,19.6739977448177,13.1962121768673,0
"bbe-miR-375-3p_MIMAT0031676_Branchiostoma_belcheri_miR-375-3p ",14.2802752132285,8.33643671094228,7.91098749757285,8.79050963066324,41.6188230193506,0
"bbe-miR-71-5p_MIMAT0031717_Branchiostoma_belcheri_miR-71-5p ",380.127325914034,328.098330552085,403.460362376215,380.084892602011,346.146796331672,65.6262672284289
"bbe-miR-92a-3p_MIMAT0031720_Branchiostoma_belcheri_miR-92a-3p ",328.446329904255,359.062238335585,304.268749906648,840.540158970085,1558.16813011471,32.8131336142144
