"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"cte-miR-96_MIMAT0009523_Capitella_teleta_miR-96 ",16.4161251573756,6.0151812743387,1.17276633863282,5.12905348336568,2.91202608906652e-07,1.80119252076561e-05
"sma-miR-124b-5p_MIMAT0033618_Schistosoma_mansoni_miR-124b-5p ",17.3106450510736,4.70940033357749,0.771164384653286,6.10686959524827,1.01604186376857e-09,4.64331131742235e-07
"bmo-miR-12_MIMAT0009151_Bombyx_mori_miR-12 ",74.3147258712288,4.6521196685943,1.31677452526078,3.53296603127476,0.000410925266805308,0.0091962648734164
"gsa-miR-124b-3p_MIMAT0035293_Gyrodactylus_salaris_miR-124b-3p ",22.9244038342456,4.35351069903161,0.69227158897053,6.28873229581135,3.20068858467174e-10,2.92542936638997e-07
"dya-miR-92a_MIMAT0009111_Drosophila_yakuba_miR-92a ",35.6097986218137,4.22195718951232,0.726650884443114,5.81015901845067,6.2413530420942e-09,1.78975820328631e-06
"dmo-miR-92a_MIMAT0008633_Drosophila_mojavensis_miR-92a ",38.2815399937394,3.98057789679238,0.724192808578735,5.49657197591408,3.87245081114137e-08,5.89903340230536e-06
"dme-miR-92a-3p_MIMAT0000334_Drosophila_melanogaster_miR-92a-3p ",38.1919910736945,3.94927805878972,0.758444467135479,5.20707610104336,1.9183943138002e-07,1.46117700234449e-05
"dpe-miR-92a_MIMAT0008763_Drosophila_persimilis_miR-92a ",36.2650115307052,3.85264144000811,0.764262306896155,5.04099365524721,4.63120823170231e-07,2.21449950350929e-05
"sma-miR-124a-3p_MIMAT0025026_Schistosoma_mansoni_miR-124a-3p ",35.5226192223015,3.825810242296,0.662819887360864,5.77202089926593,7.83263983932738e-09,1.78975820328631e-06
"dwi-miR-92a_MIMAT0008998_Drosophila_willistoni_miR-92a ",39.9245286777345,3.75463300374491,0.734471767146934,5.11201814922013,3.18735195731919e-07,1.82077480561859e-05
"dan-miR-92a_MIMAT0008412_Drosophila_ananassae_miR-92a ",37.2773684979442,3.70655612176518,0.722981876895559,5.12676215022278,2.94767520506158e-07,1.80119252076561e-05
"dgr-miR-92a_MIMAT0008571_Drosophila_grimshawi_miR-92a ",40.4990599167551,3.68085725102727,0.676680051678069,5.43958291943034,5.34054487210475e-08,6.10770755155423e-06
"dvi-miR-92a-3p_MIMAT0008979_Drosophila_virilis_miR-92a-3p ",38.8655013444594,3.661276379251,0.721482356335793,5.07465823259435,3.88193084529221e-07,2.0871087015277e-05
"fhe-miR-124_MIMAT0045222_Fasciola_hepatica_miR-124 ",32.0689284568179,3.65607490735513,0.639360229533974,5.71833332520545,1.07573963572659e-08,1.9664520541082e-06
