"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"sma-miR-124b-5p_MIMAT0033618_Schistosoma_mansoni_miR-124b-5p ",26.1743029241805,4.94325029309333,0.807231479413352,6.12370852619102,9.14220715219512e-10,2.36589239635595e-08
"gsa-miR-124b-3p_MIMAT0035293_Gyrodactylus_salaris_miR-124b-3p ",23.6419135953523,4.79885436005835,0.915349639219236,5.24264625717406,1.5828983003599e-07,2.0176046992647e-06
"gsa-miR-124a-3p_MIMAT0035275_Gyrodactylus_salaris_miR-124a-3p ",20.7276949927762,4.6002986680005,0.831321105410428,5.53372052996213,3.13508365825754e-08,4.78100257884275e-07
"gga-miR-124c-5p_MIMAT0025599_Gallus_gallus_miR-124c-5p ",30.6554594765588,4.37084028954817,0.648742829661977,6.73740053793822,1.61245242725704e-11,6.25924714944324e-10
"egr-miR-124b-3p_MIMAT0020242_Echinococcus_granulosus_miR-124b-3p ",20.8732105174761,3.86491453864425,0.789898479308961,4.89292566055508,9.93479399822411e-07,9.75208514308436e-06
"fhe-miR-124_MIMAT0045222_Fasciola_hepatica_miR-124 ",47.8286740008046,3.82638626998743,0.525529071561736,7.28101731578122,3.31312149279727e-13,1.76837859678054e-11
"sja-miR-124-3p_MIMAT0016263_Schistosoma_japonicum_miR-124-3p ",45.2462938535972,3.75522647493008,0.648980845446475,5.78634408284673,7.1934792502579e-09,1.3651625066045e-07
"sma-miR-124a-3p_MIMAT0025026_Schistosoma_mansoni_miR-124a-3p ",40.9220256706702,3.74074274339402,0.662417463991072,5.64710767263895,1.6316964495364e-08,2.84381381204916e-07
"emu-miR-124b-3p_MIMAT0020267_Echinococcus_multilocularis_miR-124b-3p ",20.2683087109433,3.36633945557227,0.643792168516252,5.22892265578606,1.70500670422619e-07,2.14128783148406e-06
"cla-miR-1994_MIMAT0009714_Cerebratulus_lacteus_miR-1994 ",29.2777449877935,3.10653796480196,0.498932637064065,6.22636751743115,4.77373526409228e-10,1.35892330517827e-08
"lgi-miR-1994b_MIMAT0009725_Lottia_gigantea_miR-1994b ",26.6594730100217,3.09466207578525,0.529648828845465,5.84285644986893,5.13132334749852e-09,1.09553753469093e-07
"cte-miR-92c_MIMAT0009522_Capitella_teleta_miR-92c ",20.4375099897746,2.91059471378197,0.702525080579903,4.14304740747391,3.42721064058307e-05,0.000250157084363927
"cte-miR-1994_MIMAT0009702_Capitella_teleta_miR-1994 ",36.9775161486317,2.84410756609055,0.438653778205748,6.48371838428926,8.9489189376543e-11,2.83050991583584e-09
