Coords	Name	MIRNA	RSB441-02-trimmed	RSB441-21-trimmed	RSB441-09-trimmed	RSB443-06-trimmed	RSB441-07-trimmed	RSB441-06-trimmed	RSB443-05-trimmed	RSB441-04-trimmed	RSB441-19-trimmed	RSB443-01-trimmed	RSB441-14-trimmed	RSB441-01-trimmed	RSB443-04-trimmed	RSB441-12-trimmed	RSB441-08-trimmed	RSB441-10-trimmed	RSB441-16-trimmed	RSB441-03-trimmed	RSB443-02-trimmed	RSB441-22-trimmed	RSB441-15-trimmed	RSB441-05-trimmed	RSB441-20-trimmed	RSB441-18-trimmed	RSB443-03-trimmed	RSB441-17-trimmed	RSB441-23-trimmed	RSB441-11-trimmed	RSB441-13-trimmed	RSB441-24-trimmed
NW_004797271.1:536079-536732	Cluster_1	N	26	18	238	106	6	250	434	10	15	320	158	6	55	50	393	16	31	280	420	40	1	59	21	50	265	66	6	232	203	7
NW_004797271.1:537855-538671	Cluster_2	N	10	31	172	88	165	234	132	244	28	108	149	61	99	204	335	173	129	130	553	65	1	62	50	27	133	27	77	212	62	179
NW_004797271.1:538679-539773	Cluster_3	N	27	60	686	223	412	641	302	745	34	187	361	183	157	460	1070	656	203	317	1639	215	1	186	87	82	311	62	164	162	251	445
NW_004797271.1:541856-543877	Cluster_4	N	1207	1432	5252	5889	2752	5902	10288	3207	1367	6252	4035	1962	3387	2810	5212	2358	2058	5368	9356	1741	20	3108	1345	929	7709	1734	1151	3890	6202	1775
NW_004797271.1:545227-545655	Cluster_5	N	6	2	120	28	1	15	220	3	3	70	19	14	7	75	41	53	6	67	107	2	2	8	9	3	24	4	3	34	30	0
NW_004797271.1:834705-835166	Cluster_6	N	64	42	120	252	98	76	174	112	63	57	157	56	132	110	172	148	67	165	113	75	3	94	97	15	51	53	47	85	79	129
NW_004797271.1:835843-837379	Cluster_7	N	56	104	176	285	129	275	197	131	95	106	166	147	189	132	180	106	77	180	171	237	4	118	123	60	97	117	152	95	180	190
NW_004797271.1:837387-837815	Cluster_8	N	8	16	29	26	20	94	133	82	44	53	73	27	59	92	91	72	50	21	49	70	0	80	26	11	36	64	34	71	28	116
NW_004797271.1:929016-930120	Cluster_9	N	12	19	280	30	664	117	2011	472	10	664	32	1717	29	518	393	418	23	334	2223	638	0	14	22	11	32	33	551	472	64	376
NW_004797271.1:931717-932188	Cluster_10	N	3	8	23	10	92	21	208	61	4	99	7	155	8	50	50	76	4	26	246	71	0	2	2	3	0	1	75	48	17	38
NW_004797271.1:1389366-1389785	Cluster_11	N	48	804	95	293	262	125	424	888	160	211	192	168	963	123	179	199	111	329	480	426	3	183	861	50	216	204	1238	217	292	507
NW_004797271.1:2177226-2177644	Cluster_12	N	2425	3255	1958	2235	2676	1651	2591	3771	3504	3080	1923	1364	4780	2633	1916	2441	1500	2609	4475	2624	6227	1740	3643	1006	1920	2122	3155	2270	1885	3441
NW_004797271.1:2537957-2538376	Cluster_13	N	3	73	17	60	51	3	85	40	66	53	42	0	25	73	0	4	2	1	5	95	0	39	30	4	48	0	37	27	14	1
NW_004797271.1:2543663-2544140	Cluster_14	N	60	64	1	109	62	87	63	6	1	33	70	73	18	39	2	5	51	68	12	43	1	78	40	32	93	4	2	54	64	5
NW_004797271.1:2876931-2877359	Cluster_15	N	14	1	1	0	81	0	215	0	12	64	0	104	2	67	114	69	1	0	119	0	0	0	24	0	0	5	0	0	21	9
NW_004797271.1:2964258-2964673	Cluster_16	N	19	34	35	115	51	56	98	37	56	67	25	43	65	22	55	31	59	49	46	45	0	25	42	21	50	49	41	44	67	16
NW_004797271.1:3232889-3233303	Cluster_17	N	4	7	5	44	6	16	10	5	16	58	11	4	29	0	4	5	21	4	6	2	0	15	10	14	41	14	4	5	12	4
NW_004797271.1:3302255-3302655	Cluster_18	N	15	28	36	69	10	23	15	10	23	29	18	11	54	14	25	15	14	12	24	15	6	11	25	13	19	10	14	17	31	6
NW_004797271.1:4844532-4844631	Cluster_19	Y	16989	32151	46051	91669	37226	68836	83018	56948	51221	49143	50516	36473	65237	46407	45989	30704	25435	39980	55903	76033	123	43331	58938	11838	67047	21325	45490	42319	58425	57406
NW_004797271.1:5310904-5311320	Cluster_20	N	7	33	9	17	16	5	34	27	53	22	11	10	43	8	15	13	16	20	51	28	4	26	48	7	25	15	29	19	32	31
