contrast	gene	log2FoldChange
Hyp_T6h.Control	Cluster_26	3.691007936848847
Hyp_T6h.Control	Cluster_29	-7.278206224237148
Hyp_T6h.Control	Cluster_33	2.640130296923716
Hyp_T6h.Control	Cluster_34	3.1541310850380393
Hyp_T6h.Control	Cluster_58	-5.648471113160398
Hyp_T6h.Control	Cluster_69	1.9235680102180905
Hyp_T6h.Control	Cluster_77	2.7528288723649554
Hyp_T6h.Control	Cluster_94	4.468064442000169
Hyp_T6h.Control	Cluster_102	4.766590437662834
Hyp_T6h.Control	Cluster_103	-4.251463502776264
Hyp_T6h.Control	Cluster_129	0.5174831540490838
Hyp_T6h.Control	Cluster_140	-5.247443955893079
Hyp_T6h.Control	Cluster_151	-7.80271612705225
Hyp_T6h.Control	Cluster_171	-3.3649153148874724
Hyp_T6h.Control	Cluster_188	-4.03094307479787
Hyp_T6h.Control	Cluster_246	2.514278817326629
Hyp_T6h.Control	Cluster_257	3.8268083055910176
Hyp_T6h.Control	Cluster_268	-22.39600868495415
Hyp_T6h.Control	Cluster_273	1.7290030158297531
Hyp_T6h.Control	Cluster_282	5.462778120014834
Hyp_T6h.Control	Cluster_297	-4.835758661022128
Hyp_T6h.Control	Cluster_298	-3.9601758129694398
Hyp_T6h.Control	Cluster_299	-5.481998238570733
Hyp_T6h.Control	Cluster_347	4.653412808626468
Hyp_T6h.Control	Cluster_407	7.25680772885807
Hyp_T6h.Control	Cluster_413	-7.029643873226252
Hyp_T6h.Control	Cluster_448	1.2415944800429115
Hyp_T6h.Control	Cluster_529	1.3080658067399806
Hyp_T6h.Control	Cluster_535	-23.56569306862925
Hyp_T6h.Control	Cluster_536	1.6208990302437833
Hyp_T6h.Control	Cluster_538	6.233114614100325
Hyp_T6h.Control	Cluster_545	-26.553266498827472
Hyp_T6h.Control	Cluster_562	-1.3650665124959325
Hyp_T6h.Control	Cluster_563	3.0023393888810483
Hyp_T6h.Control	Cluster_588	0.8344969590968437
Hyp_T6h.Control	Cluster_599	4.544586711202205
Hyp_T6h.Control	Cluster_665	-7.9205763685182635
Hyp_T6h.Control	Cluster_666	-10.976881650980078
Hyp_T6h.Control	Cluster_701	5.937272526985096
Hyp_T6h.Control	Cluster_729	-8.200001791265363
Hyp_T6h.Control	Cluster_752	-19.43255832416686
Hyp_T6h.Control	Cluster_760	-1.4568647041698235
Hyp_T6h.Control	Cluster_791	-3.7552598715217584
Hyp_T6h.Control	Cluster_793	3.3982598105026267
Hyp_T6h.Control	Cluster_814	-23.304923373664543
Hyp_T6h.Control	Cluster_890	5.770170481420823
Hyp_T6h.Control	Cluster_895	-4.103002490251483
Hyp_T6h.Control	Cluster_903	-13.38812190764839
Hyp_T6h.Control	Cluster_915	-7.868426028367349
Hyp_T6h.Control	Cluster_929	-1.4019362898820062
Hyp_T6h.Control	Cluster_985	3.188021969202793
Hyp_T6h.Control	Cluster_1002	6.5892296944435325
Hyp_T6h.Control	Cluster_1017	1.4066659214413268
Hyp_T6h.Control	Cluster_1025	2.8397257435799976
Hyp_T6h.Control	Cluster_1027	-8.482632000212032
Hyp_T6h.Control	Cluster_1030	-3.128508141815106
Hyp_T6h.Control	Cluster_1116	-4.1423387418358235
Hyp_T6h.Control	Cluster_1120	-3.82488411787099
Hyp_T6h.Control	Cluster_1159	-8.604963585228763
Hyp_T6h.Control	Cluster_1166	-1.5209796501182888
Hyp_T6h.Control	Cluster_1168	1.4781310168333726
Hyp_T6h.Control	Cluster_1169	1.1386441633417257
Hyp_T6h.Control	Cluster_1178	0.8373837377614357
Hyp_T6h.Control	Cluster_1179	-8.181641563481945
Hyp_T6h.Control	Cluster_1216	0.8893511553802833
Hyp_T6h.Control	Cluster_1238	6.419988333036646
Hyp_T6h.Control	Cluster_1243	-1.2309797426658011
Hyp_T6h.Control	Cluster_1320	-3.3930250924971124
Hyp_T6h.Control	Cluster_1350	3.9717996711404404
Hyp_T6h.Control	Cluster_1353	-38.96812458484659
Hyp_T6h.Control	Cluster_1361	-0.794816250985355
Hyp_T6h.Control	Cluster_1447	-0.6925737288247621
Hyp_T6h.Control	Cluster_1462	-14.842087418001077
Hyp_T6h.Control	Cluster_1469	7.443301654215431
Hyp_T6h.Control	Cluster_1475	2.843165770101439
Hyp_T6h.Control	Cluster_1528	-8.430898438256355
Hyp_T6h.Control	Cluster_1532	3.7949968962184624
Hyp_T6h.Control	Cluster_1540	7.307643715487568
Hyp_T6h.Control	Cluster_1541	5.56308172443161
Hyp_T6h.Control	Cluster_1547	1.6560426798298957
Hyp_T6h.Control	Cluster_1556	-3.2514647750486194
Hyp_T6h.Control	Cluster_1562	-1.8827500736309248
Hyp_T6h.Control	Cluster_1589	-1.5690310597012969
Hyp_T6h.Control	Cluster_1590	36.1689048537348
Hyp_T6h.Control	Cluster_1594	-1.9808574768749418
Hyp_T6h.Control	Cluster_1636	-10.09299886116483
Hyp_T6h.Control	Cluster_1645	7.541010973633202
Hyp_T6h.Control	Cluster_1655	3.5023191003007867
Hyp_T6h.Control	Cluster_1656	0.8920591582233787
Hyp_T6h.Control	Cluster_1660	7.36209354497896
Hyp_T6h.Control	Cluster_1670	-6.914896791596087
Hyp_T6h.Control	Cluster_1673	3.756746026904989
Hyp_T6h.Control	Cluster_1697	5.4087098168097345
Hyp_T6h.Control	Cluster_1698	-1.317590381580325
Hyp_T6h.Control	Cluster_1714	5.7830689227301075
Hyp_T6h.Control	Cluster_1771	-8.036846633313555
Hyp_T6h.Control	Cluster_1804	7.217966744656445
Hyp_T6h.Control	Cluster_1809	-8.169839723316207
Hyp_T6h.Control	Cluster_1816	2.692655305605529
Hyp_T6h.Control	Cluster_1820	-2.8840270239374988
Hyp_T6h.Control	Cluster_1836	-7.708125894877923
Hyp_T6h.Control	Cluster_1839	0.6881543627546244
Hyp_T6h.Control	Cluster_1846	0.94861136268640045
Hyp_T6h.Control	Cluster_1852	0.9254233944720521
Hyp_T6h.Control	Cluster_1925	2.432193797178717
Hyp_T6h.Control	Cluster_1929	-21.469217803208814
Hyp_T6h.Control	Cluster_1934	7.328714887699401
Hyp_T6h.Control	Cluster_1938	3.181533363133698
Hyp_T6h.Control	Cluster_1952	1.8534970278600726
Hyp_T6h.Control	Cluster_1958	-1.9948443184824116
Hyp_T6h.Control	Cluster_1966	-5.653224468690898
Hyp_T6h.Control	Cluster_2061	1.27380739139011
Hyp_T6h.Control	Cluster_2063	-1.499238072402936
Hyp_T6h.Control	Cluster_2071	-9.536707556789358
Hyp_T6h.Control	Cluster_2084	-2.686086475948085
Hyp_T6h.Control	Cluster_2112	-4.684457554015888
Hyp_T6h.Control	Cluster_2119	-6.852421672672481
Hyp_T6h.Control	Cluster_2120	-4.977125221647576
Hyp_T6h.Control	Cluster_2125	-2.0002486712949836
Hyp_T6h.Control	Cluster_2149	-6.0731128000034005
Hyp_T6h.Control	Cluster_2150	-5.4286354653046915
Hyp_T6h.Control	Cluster_2163	-5.928099166304429
Hyp_T6h.Control	Cluster_2196	-0.7380403434331666
Hyp_T6h.Control	Cluster_2208	3.3645536796395135
Hyp_T6h.Control	Cluster_2211	3.0493464031966173
Hyp_T6h.Control	Cluster_2217	-1.6808987156252977
Hyp_T6h.Control	Cluster_2231	-23.216968253660344
Hyp_T6h.Control	Cluster_2259	3.094398814813213
Hyp_T6h.Control	Cluster_2271	-24.52479610905984
Hyp_T6h.Control	Cluster_2294	-6.474054370611928
Hyp_T6h.Control	Cluster_2333	-8.405878695272646
Hyp_T6h.Control	Cluster_2350	1.4026660583389414
Hyp_T6h.Control	Cluster_2351	1.832579043312152
Hyp_T6h.Control	Cluster_2357	-1.6691934022101784
Hyp_T6h.Control	Cluster_2374	3.5843287598599747
Hyp_T6h.Control	Cluster_2378	1.667508787385975
Hyp_T6h.Control	Cluster_2394	-4.91880635504989
Hyp_T6h.Control	Cluster_2395	1.850219239323389
Hyp_T6h.Control	Cluster_2402	-6.950323865535552
Hyp_T6h.Control	Cluster_2406	2.7269074076757867
Hyp_T6h.Control	Cluster_2437	0.5869766550152729
Hyp_T6h.Control	Cluster_2448	1.7006477858092446
Hyp_T6h.Control	Cluster_2454	-6.9305585871207604
Hyp_T6h.Control	Cluster_2455	-8.396456372871741
Hyp_T6h.Control	Cluster_2477	-10.023739592167876
Hyp_T6h.Control	Cluster_2495	1.6384824136036928
Hyp_T6h.Control	Cluster_2504	-8.888885379175566
Hyp_T6h.Control	Cluster_2520	4.356898676727809
Hyp_T6h.Control	Cluster_2527	2.5191576014326564
