contrast	gene	log2FoldChange
Hyp_T6h.Control	Cluster_24	2.0678127514789226
Hyp_T6h.Control	Cluster_26	5.45980211274462
Hyp_T6h.Control	Cluster_28	-5.814417919578451
Hyp_T6h.Control	Cluster_36	-0.8418900129043181
Hyp_T6h.Control	Cluster_48	-0.9376441985489434
Hyp_T6h.Control	Cluster_58	-3.164833943473117
Hyp_T6h.Control	Cluster_61	-2.4044915094394423
Hyp_T6h.Control	Cluster_71	1.605993811998473
Hyp_T6h.Control	Cluster_94	7.602868976983396
Hyp_T6h.Control	Cluster_95	2.386785076320254
Hyp_T6h.Control	Cluster_98	-7.179973637156035
Hyp_T6h.Control	Cluster_109	6.656087038337632
Hyp_T6h.Control	Cluster_139	12.88593134329323
Hyp_T6h.Control	Cluster_151	-7.504691289656176
Hyp_T6h.Control	Cluster_157	5.545343626947991
Hyp_T6h.Control	Cluster_168	-3.4043019487877255
Hyp_T6h.Control	Cluster_171	-2.1013663138428242
Hyp_T6h.Control	Cluster_175	-1.1305739681191018
Hyp_T6h.Control	Cluster_182	1.3823349388686759
Hyp_T6h.Control	Cluster_183	-8.267508961764943
Hyp_T6h.Control	Cluster_188	-3.8559787265058594
Hyp_T6h.Control	Cluster_189	-1.7152096244786648
Hyp_T6h.Control	Cluster_194	1.4086553540376783
Hyp_T6h.Control	Cluster_202	3.6081161739793353
Hyp_T6h.Control	Cluster_227	-7.11252762990182
Hyp_T6h.Control	Cluster_228	-7.334492230855414
Hyp_T6h.Control	Cluster_237	-5.510562035733468
Hyp_T6h.Control	Cluster_246	3.9232917591164265
Hyp_T6h.Control	Cluster_249	-0.8066085470448425
Hyp_T6h.Control	Cluster_251	-0.9746634805198345
Hyp_T6h.Control	Cluster_257	3.9439256199111767
Hyp_T6h.Control	Cluster_284	-1.7167887093207606
Hyp_T6h.Control	Cluster_304	-0.9246578680400461
Hyp_T6h.Control	Cluster_312	-1.9498444959933878
Hyp_T6h.Control	Cluster_314	-1.3134095063872269
Hyp_T6h.Control	Cluster_324	-2.1581007313329956
Hyp_T6h.Control	Cluster_337	-1.087841552509278
Hyp_T6h.Control	Cluster_347	3.4364320140447813
Hyp_T6h.Control	Cluster_360	3.190525775097442
Hyp_T6h.Control	Cluster_371	-1.003450542529956
Hyp_T6h.Control	Cluster_375	-3.6004141183837466
Hyp_T6h.Control	Cluster_407	3.984711765841241
Hyp_T6h.Control	Cluster_409	-7.478108466147729
Hyp_T6h.Control	Cluster_410	-7.7654460267725165
Hyp_T6h.Control	Cluster_411	-6.302182352118937
Hyp_T6h.Control	Cluster_444	-0.9246130788296967
Hyp_T6h.Control	Cluster_451	-7.888771484576805
Hyp_T6h.Control	Cluster_452	2.5635179636341965
Hyp_T6h.Control	Cluster_461	-5.966192248468509
Hyp_T6h.Control	Cluster_462	-6.880210401137112
Hyp_T6h.Control	Cluster_463	-4.398883271490211
Hyp_T6h.Control	Cluster_488	-5.587664317948726
Hyp_T6h.Control	Cluster_526	0.6209513180340875
Hyp_T6h.Control	Cluster_537	-7.87633310208956
Hyp_T6h.Control	Cluster_538	4.309397677526127
Hyp_T6h.Control	Cluster_545	8.608270021748446
Hyp_T6h.Control	Cluster_562	-0.9520937026939
Hyp_T6h.Control	Cluster_573	2.953215750807717
Hyp_T6h.Control	Cluster_598	6.887127623850425
Hyp_T6h.Control	Cluster_599	7.058128354249093
Hyp_T6h.Control	Cluster_627	-1.3807144352430234
Hyp_T6h.Control	Cluster_628	-0.9940023055195422
Hyp_T6h.Control	Cluster_629	-1.6453636179000335
Hyp_T6h.Control	Cluster_638	3.007095203821498
Hyp_T6h.Control	Cluster_666	-4.982231666653476
Hyp_T6h.Control	Cluster_668	-6.592063467732581
Hyp_T6h.Control	Cluster_670	10.322952288795268
Hyp_T6h.Control	Cluster_671	-7.472180454029726
Hyp_T6h.Control	Cluster_692	4.839990937566473
Hyp_T6h.Control	Cluster_724	-2.972588793963078
Hyp_T6h.Control	Cluster_726	1.3053120814489239
Hyp_T6h.Control	Cluster_729	-6.628024090652248
Hyp_T6h.Control	Cluster_742	2.785194626212368
Hyp_T6h.Control	Cluster_744	2.468021799698723
Hyp_T6h.Control	Cluster_753	1.88461094655843
Hyp_T6h.Control	Cluster_760	-1.081947107549508
Hyp_T6h.Control	Cluster_769	-0.6224759470895125
Hyp_T6h.Control	Cluster_785	1.624311158834528
Hyp_T6h.Control	Cluster_791	-4.845707226890088
Hyp_T6h.Control	Cluster_793	3.4325578827419956
Hyp_T6h.Control	Cluster_795	-3.68507402677558
Hyp_T6h.Control	Cluster_800	-4.363448513102032
Hyp_T6h.Control	Cluster_814	19.60704922381869
Hyp_T6h.Control	Cluster_829	-2.588241316871173
