contrast,gene,log2FoldChange,Gene_names,Protein_names
Hyp_T2h.Control,LOC101852128,-1.6409896023140478,IRF8,Interferon regulatory factor 8 (Fragment)
Hyp_T2h.Control,LOC101853981,-0.5364460874377113,PLA2G16 HRASLS3 HREV107,HRAS-like suppressor 3 (HRSL3) (EC 3.1.1.32) (EC 3.1.1.4) (Adipose-specific phospholipase A2) (AdPLA) (Group XVI phospholipase A1/A2) (H-rev 107 protein homolog) (H-REV107) (HREV107-1) (HRAS-like suppressor 1) (HREV107-3) (Renal carcinoma antigen NY-REN-65)
Hyp_T2h.Control,LOC101845657,-2.058433081334825,CYGB STAP,Cytoglobin (Histoglobin) (HGb) (Stellate cell activation-associated protein)
Hyp_T2h.Control,LOC101846389,0.3574876398631726,ATRX RAD54L XH2,Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (X-linked helicase II) (X-linked nuclear protein) (XNP) (Znf-HX)
Hyp_T2h.Control,LOC101850213,0.5754138180956363,NA,NA
Hyp_T2h.Control,LOC101852365,-1.6074661330587323,ARIH1 ARI MOP6 UBCH7BP HUSSY-27,E3 ubiquitin-protein ligase ARIH1 (EC 2.3.2.31) (H7-AP2) (HHARI) (Monocyte protein 6) (MOP-6) (Protein ariadne-1 homolog) (ARI-1) (UbcH7-binding protein) (UbcM4-interacting protein) (Ubiquitin-conjugating enzyme E2-binding protein 1)
Hyp_T2h.Control,LOC101856852,0.3879278712242813,XRN2,5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)
Hyp_T2h.Control,LOC101861010,0.5568881601785755,PAPSS1 ATPSK1 PAPSS,"Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT), Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]"
Hyp_T2h.Control,LOC101845435,-1.111080874998922,NA,NA
Hyp_T2h.Control,LOC101851543,-0.536447674979346,NA,NA
Hyp_T2h.Control,LOC101863942,-0.890906958311401,NA,NA
Hyp_T2h.Control,LOC101845814,0.7614932101730352,NA,NA
Hyp_T2h.Control,LOC101846703,-0.49371293539148703,LYAR PNAS-5,Cell growth-regulating nucleolar protein
Hyp_T2h.Control,LOC101850380,-0.6455018280972665,EXD2 C14orf114 EXDL2,Exonuclease 3'-5' domain-containing protein 2 (EC 3.1.11.1) (Exonuclease 3'-5' domain-like-containing protein 2)
Hyp_T2h.Control,LOC101853898,0.3975421522459091,GCK,Glucokinase (EC 2.7.1.2) (Hexokinase type IV) (HK IV) (Hexokinase-4) (HK4) (Hexokinase-D)
Hyp_T2h.Control,LOC101857848,-0.4688775758960944,NA,NA
Hyp_T2h.Control,LOC101863315,-0.5651459970647649,FAM151B UNQ9217/PRO28685,Protein FAM151B
Hyp_T2h.Control,LOC100861465,0.8219631832651554,CREB1,Cyclic AMP-responsive element-binding protein 1 (Fragment)
Hyp_T2h.Control,LOC100861465,0.8219631832651554,CREB1,Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1)
Hyp_T2h.Control,LOC101853210,-2.3372104510978104,EIF5A,Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (Rev-binding factor) (eIF-4D)
Hyp_T2h.Control,LOC101859616,-1.4945349033075948,PRSS23 ZSIG13 UNQ270/PRO307,Serine protease 23 (EC 3.4.21.-) (Putative secreted protein Zsig13)
