contrast,gene,log2FoldChange,Gene_names,Protein_names
Hyp_T2h.Control,LOC101847001,-1.0182003963910542,CSRP3,Cysteine and glycine-rich protein 3
Hyp_T2h.Control,LOC101853981,-1.3326698356681486,PLA2G16 HRASLS3 HREV107,HRAS-like suppressor 3 (HRSL3) (EC 3.1.1.32) (EC 3.1.1.4) (Adipose-specific phospholipase A2) (AdPLA) (Group XVI phospholipase A1/A2) (H-rev 107 protein homolog) (H-REV107) (HREV107-1) (HRAS-like suppressor 1) (HREV107-3) (Renal carcinoma antigen NY-REN-65)
Hyp_T2h.Control,LOC101856763,0.6650758833477538,NPEPPS PSA,Puromycin-sensitive aminopeptidase (PSA) (EC 3.4.11.14) (Cytosol alanyl aminopeptidase) (AAP-S)
Hyp_T2h.Control,LOC101859745,-1.7754274954400362,NA,NA
Hyp_T2h.Control,LOC101860211,-0.9969943033146631,IFI27,"Interferon alpha-inducible protein 27, mitochondrial (p27) (Interferon alpha-induced 11.5 kDa protein) (Interferon-stimulated gene 12a protein) (ISG12(a)) (ISG12A)"
Hyp_T2h.Control,LOC101860615,-1.025398579889897,APOD,Apolipoprotein D (Apo-D) (ApoD)
Hyp_T2h.Control,LOC101862382,-0.6582035372349168,RPL24,60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24)
Hyp_T2h.Control,LOC101845657,-2.41367699818266,CYGB STAP,Cytoglobin (Histoglobin) (HGb) (Stellate cell activation-associated protein)
Hyp_T2h.Control,LOC101848154,-0.847012456872089,INPP1,Inositol polyphosphate 1-phosphatase (IPP) (IPPase) (EC 3.1.3.57)
Hyp_T2h.Control,LOC101848702,0.4138867094746035,RALA RAL,Ras-related protein Ral-A
Hyp_T2h.Control,LOC101850373,-1.0136928171570505,LBX1 LBX1H,Transcription factor LBX1 (Ladybird homeobox protein homolog 1)
Hyp_T2h.Control,LOC101845508,1.2143817966930408,CNBD2 C20orf152,Cyclic nucleotide-binding domain-containing protein 2
Hyp_T2h.Control,LOC101851776,-0.6436670553062134,DDX23,Probable ATP-dependent RNA helicase DDX23 (EC 3.6.4.13) (100 kDa U5 snRNP-specific protein) (DEAD box protein 23) (PRP28 homolog) (U5-100kD)
Hyp_T2h.Control,LOC101858314,0.3329219843912731,STK10 LOK,Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase)
Hyp_T2h.Control,LOC101852969,-1.1742221854503385,HSPA12A KIAA0417,Heat shock 70 kDa protein 12A
Hyp_T2h.Control,LOC101849014,-0.8275796626630375,DDX56 DDX21 NOH61,Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)
Hyp_T2h.Control,LOC101852216,-5.26486589827628,PHYHD1,Phytanoyl-CoA dioxygenase domain-containing protein 1 (EC 1.-.-.-)
Hyp_T2h.Control,LOC101846543,-1.260062382291626,NEURL1 NEURL NEURL1A RNF67,E3 ubiquitin-protein ligase NEURL1 (EC 2.3.2.27) (Neuralized-like protein 1A) (h-neu) (h-neuralized 1) (RING finger protein 67) (RING-type E3 ubiquitin transferase NEURL1)
Hyp_T2h.Control,LOC101848250,0.4339210358451127,SRP54,Signal recognition particle 54 kDa protein (SRP54)
Hyp_T2h.Control,LOC101856852,0.6738326249408231,XRN2,5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)
