gene	UNIPROT
LOC101845732	P12074
LOC101845963	O00400
LOC101845963	O00400
LOC101847001	P50461
LOC101847001	P50461
LOC101855301	Q6UVY6
LOC101847694	O95336
LOC101847694	O95336
LOC101848083	O95295
LOC101848620	Q9NQX5
LOC101848391	Q9P104
LOC101848850	Q6P1J9
LOC101849253	Q92535
LOC101849504	Q01658
LOC101849504	Q01658
LOC101855532	Q5T1M5
LOC101849970	Q6DKK2
LOC101850212	Q0P6D6
LOC101850212	Q0P6D6
LOC101850446	Q9BTM9
LOC101850682	Q5VTL8
LOC101850917	O15027
LOC101850917	O15027
LOC101850917	O15027
LOC101850917	O15027
LOC101851774	Q9NRR6
LOC101851774	Q9NRR6
LOC106012495	Q9WJR5
LOC101852128	Q02556
LOC101852128	Q02556
LOC101852364	Q9H7Z7
LOC101852581	Q5TZF3
LOC101853505	Q9Y2M5
LOC101853981	P53816
LOC101853981	P53816
LOC101854370	Q86Y79
LOC101856476	Q5JU67
LOC101854761	Q7Z6M1
LOC101854761	Q7Z6M1
LOC101854761	Q7Z6M1
LOC101856700	Q96DM1
LOC101855452	Q86UD0
LOC101855452	Q86UD0
LOC101856937	Q8TDX7
LOC101857153	Q9BZC7
LOC101857153	Q9BZC7
LOC101857372	Q6YP21
LOC101857609	Q03167
LOC101855683	Q86UP6
LOC101857841	Q8NCE0
LOC101858073	P31645
LOC101855910	P14927
LOC101858313	Q9H2Y9
LOC101858313	Q9H2Y9
LOC100533353	Q96RD6
LOC101856139	Q9Y6R1
LOC101856139	Q9Y6R1
LOC101858530	Q13231
LOC101856539	O14594
LOC101856763	P55786
LOC101856763	P55786
LOC101856763	P55786
LOC101856763	P55786
LOC101856763	P55786
LOC101857754	O75382
LOC101857986	Q9C040
LOC101857986	Q9C040
LOC101857986	Q9C040
LOC101858529	P55199
LOC101858529	P55199
LOC101858747	Q05823
LOC101858747	Q05823
LOC101859282	P62304
LOC101859675	Q96BA8
LOC101859896	P06858
LOC101859896	P06858
LOC101860375	P21589
LOC101860375	P21589
LOC101860616	P30874
LOC101859524	Q7Z408
LOC101860615	P05090
LOC101861328	Q8TE73
LOC101861244	Q9UMY4
LOC101861473	Q8IWP9
LOC101861473	Q8IWP9
LOC101861473	Q8IWP9
LOC101861473	Q9BUN5
LOC101861549	Q8IW35
LOC101861549	Q8IW35
LOC101862382	P83731
LOC101862618	Q8NCJ5
LOC101862618	Q8NCJ5
LOC101862618	Q8NCJ5
LOC101863065	Q969J3
LOC101863065	Q969J3
LOC101863307	Q149N8
LOC101863307	Q149N8
LOC101863307	Q149N8
LOC101863307	Q149N8
LOC101863551	Q13505
LOC101861996	Q96M20
LOC101864424	P35858
LOC101864031	Q8WVJ9
LOC101864654	Q96MT7
LOC101845135	Q8WVJ9
LOC101845135	Q8WVJ9
LOC101845657	Q8WWM9
LOC101846041	Q8WWM9
LOC101862459	Q96NT5
LOC100533245	P32297
LOC101862691	P32297
LOC100533249	Q15822
LOC100533249	Q15822
LOC100533249	Q15822
LOC101846698	Q14162
LOC101846698	Q14162
LOC101846698	Q14162
LOC101846927	P32297
LOC101846927	P32297
LOC101847156	Q2NKJ3
LOC101847384	A5D8W1
LOC101847384	A5D8W1
LOC101847916	Q9NYV4
LOC101848154	P49441
LOC101848154	P49441
LOC101848702	P11233
LOC101848702	P11233
LOC101848702	P11233
LOC101848702	P11233
LOC101848702	P11233
LOC101862909	Q15648
LOC101863146	Q9UBU7
LOC101849419	Q6RFH5
LOC101849656	Q9UH77
LOC101863390	P35858
LOC101863390	P35858
LOC101863390	P35858
LOC101863390	P35858
LOC101863390	P35858
LOC101863390	P35858
LOC101849892	Q9UJX2
LOC101850124	Q9H977
LOC101850373	P52954
LOC101850373	P52954
LOC101850373	P52954
LOC101850608	Q8IV33
LOC101850608	Q8IV33
LOC101850854	Q9NY26
LOC101851082	P36544
LOC101851304	O00165
LOC101851538	P13861
LOC101864344	Q8N4A0
LOC101851775	Q8TDX9
LOC101851775	Q8TDX9
LOC101851775	Q8TDX9
LOC101845049	O43613
LOC101851991	Q9NQW7
LOC101851991	Q9NQW7
LOC101851991	Q9NQW7
LOC101852215	Q13057
LOC101852215	Q13057
LOC101852215	Q13057
LOC101845508	Q96M20
LOC101852887	P50443
LOC101845733	P50443
LOC101845733	P50443
LOC101853269	Q9UIA9
LOC101853269	Q9UIA9
LOC101853653	Q8NFP4
LOC101854125	Q9HB21
LOC101846173	O60494
LOC101846173	O60494
LOC101846173	O60494
LOC101846173	O60494
LOC101846173	O60494
LOC101846389	Q9Y4B4
LOC101846614	Q8WTV0
LOC101846614	Q8WTV0
LOC101848005	Q9UIK4
LOC101848005	Q9UIK4
LOC101848559	Q9NXF1
LOC101849256	Q86WI1
LOC101849256	Q86WI1
LOC101848789	Q99853
LOC101849506	Q6P093
LOC101849013	Q9BU70
LOC101849013	Q9BU70
LOC101849255	Q9NVE4
LOC101849255	Q9NVE4
LOC101849255	Q9NVE4
LOC101849255	Q9NVE4
LOC101849255	Q9NVE4
LOC101849255	Q9NVE4
LOC101849255	Q9NVE4
LOC101849255	Q9NVE4
LOC101849255	Q9NVE4
LOC101849255	Q9NVE4
LOC101849803	O43614
LOC101849803	O43614
LOC101849803	O43614
LOC101849803	O43614
LOC101850213	O14810
LOC101850213	O14810
LOC101850213	O14810
LOC101851084	Q9H8M1
LOC101851540	Q8N3I7
LOC101851776	Q9BUQ8
LOC101851776	Q9BUQ8
LOC101851776	Q9BUQ8
LOC101851776	Q9BUQ8
LOC101851776	Q9BUQ8
LOC101851776	Q9BUQ8
LOC101852130	A8MTZ0
LOC101852365	Q9Y4X5
LOC101852582	Q9Y4X5
LOC101852806	Q7Z6J8
