gene	KOG_class
C/EBP	Transcription 
PC2	Posttranslational modification, protein turnover, chaperones 
LOC100533421	Signal transduction mechanisms 
LOC100533493	Signal transduction mechanisms 
afurin2	Posttranslational modification, protein turnover, chaperones 
LOC100533321	Signal transduction mechanisms 
LOC100533321	Inorganic ion transport and metabolism 
LOC100533321	Amino acid transport and metabolism 
LOC100533225	Intracellular trafficking, secretion, and vesicular transport 
LOC100533225	Signal transduction mechanisms 
PC1B	Posttranslational modification, protein turnover, chaperones 
CPE2	Translation, ribosomal structure and biogenesis 
LOC100533518	Signal transduction mechanisms 
LOC100533519	Signal transduction mechanisms 
LOC100533344	Signal transduction mechanisms 
LOC100533521	Coenzyme transport and metabolism 
CAPLA	Signal transduction mechanisms 
LOC100533524	Chromatin structure and dynamics 
LOC100533524	Transcription 
LOC100533527	Chromatin structure and dynamics 
LOC100533528	Cytoskeleton 
LOC100533537	NA
LOC100533208	Intracellular trafficking, secretion, and vesicular transport 
KLC2	Cytoskeleton 
KHC1	Cytoskeleton 
LOC100533217	Defense mechanisms 
LOC100533218	Signal transduction mechanisms 
LOC100533219	Translation, ribosomal structure and biogenesis 
LOC100533220	Signal transduction mechanisms 
CPEB	Translation, ribosomal structure and biogenesis 
LOC100533223	Signal transduction mechanisms 
NOS	Energy production and conversion 
Ras	NA
Rap	Lipid transport and metabolism 
C-APL-B	Signal transduction mechanisms 
NADase	NA
RHO	Intracellular trafficking, secretion, and vesicular transport 
SAP	Signal transduction mechanisms 
LOC100533244	Signal transduction mechanisms 
LOC100533244	Inorganic ion transport and metabolism 
LOC100533244	Amino acid transport and metabolism 
LOC100533245	Signal transduction mechanisms 
LOC100533247	Signal transduction mechanisms 
LOC100533249	Signal transduction mechanisms 
Tld-2	Posttranslational modification, protein turnover, chaperones 
Ap-uch	Posttranslational modification, protein turnover, chaperones 
LOC100533254	Translation, ribosomal structure and biogenesis 
LOC100533258	Translation, ribosomal structure and biogenesis 
LOC100533260	Cytoskeleton 
LOC100533261	Cytoskeleton 
LOC100533263	Translation, ribosomal structure and biogenesis 
LOC100533265	Inorganic ion transport and metabolism 
LOC100533269	Energy production and conversion 
Src1	Signal transduction mechanisms 
LOC100533271	Extracellular structures 
LOC100533271	Cell wall/membrane/envelope biogenesis 
LOC100533273	Posttranslational modification, protein turnover, chaperones 
CaM	Signal transduction mechanisms 
LOC100533275	Inorganic ion transport and metabolism 
LOC100533276	Signal transduction mechanisms 
LOC100533277	Signal transduction mechanisms 
LOC100533282	Signal transduction mechanisms 
LOC100533284	Signal transduction mechanisms 
LOC100533285	Inorganic ion transport and metabolism 
LOC100533288	Signal transduction mechanisms 
LOC100533290	Replication, recombination and repair 
LOC100533290	Transcription 
LOC100533290	Posttranslational modification, protein turnover, chaperones 
LOC100533291	Translation, ribosomal structure and biogenesis 
LOC100533294	Posttranslational modification, protein turnover, chaperones 
LOC100533295	NA
LOC100533297	Nucleotide transport and metabolism 
LOC100533300	Cell wall/membrane/envelope biogenesis 
LOC100533302	Cytoskeleton 
LOC100533304	Signal transduction mechanisms 
LOC100533305	Intracellular trafficking, secretion, and vesicular transport 
LOC100533306	Intracellular trafficking, secretion, and vesicular transport 
aplA	Energy production and conversion 
LOC100533310	Coenzyme transport and metabolism 
ADD	Signal transduction mechanisms 
ADD	Cytoskeleton 
LOC100533312	Amino acid transport and metabolism 
LOC100533312	Signal transduction mechanisms 
LOC100533312	Inorganic ion transport and metabolism 
LOC100533313	Signal transduction mechanisms 
LOC100533313	Inorganic ion transport and metabolism 
LOC100533313	Amino acid transport and metabolism 
LOC100533314	Signal transduction mechanisms 
LOC100533314	Inorganic ion transport and metabolism 
LOC100533314	Amino acid transport and metabolism 
LOC100533315	Amino acid transport and metabolism 
LOC100533315	Inorganic ion transport and metabolism 
LOC100533315	Signal transduction mechanisms 
LOC100533316	Inorganic ion transport and metabolism 
LOC100533316	Signal transduction mechanisms 
LOC100533316	Amino acid transport and metabolism 
LOC100533319	Inorganic ion transport and metabolism 
jnk	Signal transduction mechanisms 
LOC100533322	Lipid transport and metabolism 
LOC100533323	Nucleotide transport and metabolism 
LOC100533325	NA
LOC100533326	Translation, ribosomal structure and biogenesis 
LOC100533340	Intracellular trafficking, secretion, and vesicular transport 
LOC100533340	Signal transduction mechanisms 
LOC100533328	Signal transduction mechanisms 
LOC100533329	Signal transduction mechanisms 
LOC100533330	Intracellular trafficking, secretion, and vesicular transport 
LOC100533331	Intracellular trafficking, secretion, and vesicular transport 
LOC100533332	Inorganic ion transport and metabolism 
LOC100533335	Translation, ribosomal structure and biogenesis 
FMRP	NA
LOC100533339	Nucleotide transport and metabolism 
LOC100533341	Intracellular trafficking, secretion, and vesicular transport 
FUR	Posttranslational modification, protein turnover, chaperones 
LOC100533345	Cytoskeleton 
LOC100533346	NA
LOC100533347	Signal transduction mechanisms 
LOC100533349	Replication, recombination and repair 
LOC100533349	Signal transduction mechanisms 
LOC100533349	Transcription 
LOC100533350	Signal transduction mechanisms 
LOC100533351	Cytoskeleton 
LOC100533353	Inorganic ion transport and metabolism 
LOC100533357	Cytoskeleton 
LOC100533358	Posttranslational modification, protein turnover, chaperones 
LOC100533363	Signal transduction mechanisms 
LOC100533368	Cytoskeleton 
aplC	Energy production and conversion 
LOC100533372	Signal transduction mechanisms 
NEP	Amino acid transport and metabolism 
LOC100533376	Inorganic ion transport and metabolism 
GPB5	Posttranslational modification, protein turnover, chaperones 
LOC100533383	Signal transduction mechanisms 
LOC100533383	Cytoskeleton 
LOC100533384	RNA processing and modification 
APN	Amino acid transport and metabolism 
APN	Posttranslational modification, protein turnover, chaperones 
LOC100533387	Nuclear structure 
LOC100533387	Intracellular trafficking, secretion, and vesicular transport 
Apoa	Signal transduction mechanisms 
LOC100533392	Cytoskeleton 
LOC100533395	Signal transduction mechanisms 
LOC100533395	Amino acid transport and metabolism 
LOC100533395	Inorganic ion transport and metabolism 
LOC100533396	Signal transduction mechanisms 
LOC100533396	Inorganic ion transport and metabolism 
LOC100533396	Amino acid transport and metabolism 
LOC100533400	Intracellular trafficking, secretion, and vesicular transport 
LOC100533401	Signal transduction mechanisms 
LOC100533405	Lipid transport and metabolism 
LOC100533406	Signal transduction mechanisms 
LOC100533407	Amino acid transport and metabolism 
LOC100533408	Transcription 
LOC100533410	NA
LOC100533415	Posttranslational modification, protein turnover, chaperones 
LOC100533415	Intracellular trafficking, secretion, and vesicular transport 
ApCREB2	Transcription 
dop1	Signal transduction mechanisms 
LOC100533419	Signal transduction mechanisms 
LOC100533419	Cell cycle control, cell division, chromosome partitioning 
LOC100533420	Signal transduction mechanisms 
LOC100533422	Inorganic ion transport and metabolism 
LOC100533424	Inorganic ion transport and metabolism 
LOC100533425	Inorganic ion transport and metabolism 
Src2	Signal transduction mechanisms 
CBP	Transcription 
GPHA	
LOC100533434	Posttranslational modification, protein turnover, chaperones 
LOC100533436	Cell cycle control, cell division, chromosome partitioning 
LOC100533439	NA
Nork	Signal transduction mechanisms 
LOC100533441	NA
ER	Transcription 
LOC100533444	Signal transduction mechanisms 
LOC100533445	Translation, ribosomal structure and biogenesis 
LOC100533446	Amino acid transport and metabolism 
LOC100533447	Nuclear structure 
LOC100533447	Cell cycle control, cell division, chromosome partitioning 
aplB	Energy production and conversion 
LOC100533450	Intracellular trafficking, secretion, and vesicular transport 
LOC100533450	Transcription 
AcDopbH	Amino acid transport and metabolism 
LOC100533453	Signal transduction mechanisms 
LOC100533454	Signal transduction mechanisms 
LOC100533455	Inorganic ion transport and metabolism 
AplD	Signal transduction mechanisms 
nlgn4	Lipid transport and metabolism 
LOC100533458	Chromatin structure and dynamics 
ddx5	RNA processing and modification 
cad1	Signal transduction mechanisms 
GluR8	Amino acid transport and metabolism 
GluR8	Inorganic ion transport and metabolism 
GluR8	Signal transduction mechanisms 
5-HT2	Signal transduction mechanisms 
