Group	Type	Subtype_name	Subtype	Gene_count	Protein_count	Gene_accessions	Protein_accessions
Effector Genes	AMP	Aerolysin	Aerolysin	14	15	"LOC101846799, LOC101851569, LOC101859396, LOC101846954, LOC101859480, LOC101850952, LOC101847822, LOC101856576, LOC101852190, LOC101863118, LOC101864475, LOC101846685, LOC101845516, LOC101856550"	"XP_005093610.1, XP_005095564.1, XP_005095565.1, XP_005096096.3, XP_005096128.1, XP_005097555.1, XP_005098369.2, XP_005098969.1, XP_005099173.1, XP_005102296.1, XP_005103722.1, XP_005105797.1, XP_005106748.1, XP_005112200.1, XP_035829236.1"
Effector Genes	AMP	Epsilon toxin	ETX/MTX-2	5	6	"LOC101857663, LOC101857969, LOC101846908, LOC101858001, LOC106011851"	"XP_005104813.2, XP_005104905.1, XP_005106143.1, XP_005113192.2, XP_012938383.1, XP_035827346.1"
Effector Genes	AMP	Lipopolysaccharide-binding protein/Bactericidal/permeability-increasing protein	LBP/BPI	1	1	LOC101845376	XP_005112375.2
Effector Genes	AMP	MACPF domain containing protein (Perfoin-like)	MACPF	3	3	"LOC101845147, LOC101864334, LOC101861925"	"XP_005112978.1, XP_012943770.1, XP_012945642.1"
Effector Genes	AMP	Mucin	Mucin	13	13	"LOC101850759, LOC101858245, LOC106011832, LOC101858737, LOC101847382, LOC101853854, LOC101850357, LOC101856683, LOC118478548, LOC118478549, LOC101855068, LOC101851669, LOC101848972"	"XP_005110340.2, XP_005113568.3, XP_012938304.1, XP_012943381.2, XP_012944719.1, XP_035825750.1, XP_035827687.1, XP_035827736.1, XP_035828238.1, XP_035828243.1, XP_035829175.1, XP_005107202.2, XP_012938624.1"
Effector Genes	Antioxidants	Catalase	CAT	2	3	"LOC101854685, LOC101860167"	"XP_005090060.1, XP_005090061.1, XP_012937275.1"
Effector Genes	Antioxidants	Glutathione peroxidase	GPX	3	3	"LOC101845824, LOC101850882, LOC106012346"	"XP_005091443.1, XP_005096916.2, XP_012940524.1"
Effector Genes	Antioxidants	Glutaredoxin	GRX	8	11	"LOC101852364, LOC101853769, LOC101862110, LOC101862648, LOC101852712, LOC101863301, LOC101863061, LOC101848733"	"XP_005088854.1, XP_005093031.1, XP_005097386.1, XP_005098340.1, XP_005104530.1, XP_005104531.1, XP_005109712.1, XP_005110052.1, XP_012935347.1, XP_035824450.1, XP_035824451.1"
Effector Genes	Antioxidants	Glutathione reductase	GSR	1	1	LOC101847425	XP_005099721.2
Effector Genes	Antioxidants	Glutathion S transferase	GST	68	81	"LOC101857155, LOC101848706, LOC101853206, LOC101859064, LOC101864356, LOC101858165, LOC101858841, LOC101851251, LOC101846636, LOC101852914, LOC101855415, LOC101858177, LOC101862113, LOC101855339, LOC101857486, LOC101851411, LOC101853331, LOC101857270, LOC101858292, LOC101859804, LOC101852562, LOC101850271, LOC101860519, LOC101863925, LOC101850431, LOC101850904, LOC101848312, LOC101848542, LOC101850046, LOC101851162, LOC101851006, LOC101851698, LOC101853665, LOC101854470, LOC101859624, LOC101859844, LOC101858608, LOC106011156, LOC101853318, LOC106010985, LOC106011898, LOC101858500, LOC106012015, LOC101856445, LOC101852197, LOC106012605, LOC106012787, LOC101856625, LOC101850197, LOC101852074, LOC106013091, LOC101845200, LOC101864486, LOC101856545, LOC101850923, LOC106013685, LOC101851850, LOC101851549, LOC106013781, LOC106013807, LOC106014134, LOC118477243, LOC101845164, LOC106011817, LOC101856818, LOC101857199, LOC118478408, LOC118478964"	"XP_005089146.2, XP_005089374.1, XP_005089958.1, XP_005090422.1, XP_005090892.3, XP_005093136.2, XP_005093139.2, XP_005093728.1, XP_005094586.1, XP_005095055.2, XP_005095748.1, XP_005096784.1, XP_005097996.2, XP_005098473.2, XP_005099088.1, XP_005099402.1, XP_005103170.1, XP_005103171.1, XP_005104553.2, XP_005104558.2, XP_005104565.2, XP_005104704.2, XP_005104780.1, XP_005105950.1, XP_005105965.1, XP_005106678.1, XP_005106680.2, XP_005106935.1, XP_005106936.1, XP_005106937.1, XP_005111218.1, XP_005111883.2, XP_005112476.2, XP_005112479.2, XP_005112487.1, XP_005112488.1, XP_005113022.1, XP_005113023.1, XP_012934771.2, XP_012934777.1, XP_012935065.1, XP_012935067.1, XP_012935247.1, XP_012938257.1, XP_012938258.1, XP_012938259.1, XP_012938470.2, XP_012938525.1, XP_012939045.1, XP_012939046.1, XP_012940887.1, XP_012941092.1, XP_012941489.2, XP_012942204.1, XP_012942275.1, XP_012942559.1, XP_012942923.1, XP_012943330.1, XP_012944248.1, XP_012944480.1, XP_012945278.1, XP_012945525.1, XP_012945526.1, XP_012945528.1, XP_012945669.1, XP_012945673.1, XP_012945867.1, XP_012945873.1, XP_012945940.1, XP_012946654.1, XP_035824165.1, XP_035824300.1, XP_035825179.1, XP_035825180.1, XP_035825798.1, XP_035826634.1, XP_035826902.1, XP_035827371.1, XP_035827848.1, XP_035829408.1, XP_035829505.1"
